Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
1;chose;ohcse;_ _ _ _ _;5;machin;bidule;patrimoine;objet;détail;Permet de désigner un objet, une idée ou une abstraction quelconque, sans avoir à l’identifier ou à la nommer. Une chose est ce qui est indéterminé, objet ou idée, ou qu’il n’est pas nécessaire de préciser. La signification du mot chose se déduit par la manière dont on l’emploie dans la phrase, où il remplace ce qu’il n’est pas possible (ou pas souhaitable) de nommer. Peut aussi remplacer un ensemble d’objets inanimés (ou d’idées) qu’on devine par le contexte.;Rappelle un mot, une idée, un évènement, ou une énumération dont on parle ou dont on vient de parler ou dont on va parler.;Désigne un concept, une idée, ce qui a été, est, ou sera dit ou fait.
2;homme;moehm;_ _ _ _ _;5;individu;personne;type;bougre;zèbre!;"(Collectif ou générique) Être d’une espèce humaine, du genre scientifique Homo, souvent par opposition à l’animal  ; l’ensemble des humains, en particulier de l’espèce humaine actuelle (Homo sapiens). —  Note :  on écrit souvent Homme avec une majuscule pour lever l’ambiguïté avec « être humain de sexe masculin ». Cet usage peut être considéré sexiste, en particulier au Canada[1]. Pour cette raison, une tendance se dessine qui consiste à remplacer quand c’est possible homme par humain. Amnesty International dit les droits humains à la place des droits de l’homme[2].";Être humain adulte de sexe masculin, par opposition à la femme et à l’enfant.;(Sociologie) Être humain mâle ou femelle ayant des valeurs sociales et morales.
3;jour;oruj;_ _ _ _;4;point de vue;perspective;journée;lumière;ouverture;"Période de vingt-quatre heures, commençant généralement à minuit ; en certains lieux et à certaines époques, le jour commençait plutôt avec le lever ou le coucher du soleil.";(En particulier) (Métrologie) Unité de mesure du temps (compatible avec le Système international) dérivée de la seconde. Symbole d (du latin diurnus).;(Par extension) Date particulière du calendrier.
4;femme;efmme;_ _ _ _ _;5;épouse;amante;bourgeoise;concubine;compagne;Être humain de sexe féminin (par opposition à homme), femelle de l’Homo sapiens.;Personne adulte et nubile de sexe féminin (par opposition à fille, fillette et femme-enfant).;"Conjointe ; épouse ; partenaire."
5;temps;empst;_ _ _ _ _;5;époque;période;âge;siècle;moment;"Durée des choses, marquée par certaines périodes, et principalement par la révolution apparente du soleil ; écart entre le déroulement de deux événements.";(Par extension) (Mythologie) Sa représentation sous la figure d’un vieillard ailé qui d’une main tient une faux, et de l’autre un sablier.;Durée limitée, par opposition à l’éternité.
6;dieu;ideu;_ _ _ _;4;déité;divinité;démiurge;providence;célicole;(Religion) Être surnaturel objet de déférence d’une religion.;(Figuré) Celui qui est l’objet d’un grand enthousiasme, d’une vénération profonde, d’une vive reconnaissance, d’un extrême attachement.;(En particulier) Personne qui démontre un talent exceptionnel dans un domaine particulier.
7;fois;oisf;_ _ _ _;4;occurrence;coup;;;;Nom qui se joint à un adjectif numéral pour indiquer qu’un fait s’est produit ou s’est répété.;(En particulier) Quantité, nombre que l’on augmente, que l’on diminue ou que l’on compare à d’autres.;(Mathématiques) Produit des nombres précédent et suivant.
8;père;erpè;_ _ _ _;4;ancêtre;aïeul;créateur;ascendant;inventeur;Mâle ayant fécondé un ovule qui a donné naissance à un enfant.;Individu mâle qui a pris le rôle et la responsabilité paternelle dans la vie d’un enfant.;(Par extension) (Souvent au pluriel) Ascendant, quel que soit le degré de parenté.
9;fille;illef;_ _ _ _ _;5;tendron;célibataire;demoiselle;femme;fillette;Être humain du sexe féminin depuis sa naissance jusqu’à son mariage.;(Spécialement) Jeune fille encore vierge.;Enfant du sexe féminin considérée par rapport à ses parents.
10;monde;dmeon;_ _ _ _ _;5;univers;gens;hommes;sphère;terre;Ensemble des choses et des êtres existants.;(Vieilli) Ensemble des corps célestes dont le Soleil est le centre.;Terre sur laquelle on vit.
11;besoin;ebiosn;_ _ _ _ _ _;6;pénurie;dénuement;indigence;disette;nécessité;Privation de quelque chose qui est nécessaire.;"Indigence ; dénuement.";(Désuet) Manque de nourriture.
12;accord;arodcc;_ _ _ _ _ _;6;harmonie;union;entente;alliance;fraternité;Union entre plusieurs personnes, causée par la conformité de volontés, de sentiments, d’idées.;Concordance.;Convention que l’on fait pour terminer un différend.
13;monsieur;eusimron;_ _ _ _ _ _ _ _;8;sieur;notabilité;sommité;personnalité;homme;Appellation permettant de s’adresser de façon polie à un homme (un client, un professeur, un passant, etc.).;Homme dont on ne connaît pas le nom (par opposition à dame, madame).;Terme courtois pour un homme (par opposition à dame et demoiselle).
14;enfant;enatfn;_ _ _ _ _ _;6;gamin;bébé;mioche;gosse;môme;Garçon ou fille qui n’a pas encore atteint l’adolescence.;Fils ou fille, de tout âge, par relation au père ou à la mère.;(Par extension) Descendant, descendante en ligne directe et indirecte.
15;heure;uehre;_ _ _ _ _;5;plombe;âge;époque;moment;jours;(Métrologie) Unité de mesure du temps, compatible avec le Système international, dérivée de la seconde, dont le symbole est h. 1 heure = 60 minutes = 3600 secondes.;Durée mesurée par cette unité.;(Par extension) Ce temps qui est consacré à une tâche, à une activité, etc. — Note d’usage :  Il est alors suivi de la préposition de.
16;mère;erèm;_ _ _ _;4;source;accouchée;daronne;génitrice;maman;Femme qui a donné naissance à au moins un enfant.;Femme qui a pris le rôle et la responsabilité maternelle dans la vie d’un enfant.;Femelle d'un animal, lorsqu’elle a un ou plusieurs petits.
17;maison;anosim;_ _ _ _ _ _;6;habitation;demeure;foyer;toit;logis;(Architecture) Bâtiment servant de logis, d’habitation, de demeure.;"Ménage ; foyer ; tout ce qui a rapport aux affaires domestiques (qu’il s’agisse réellement d’une maison ou d’une autre forme d’habitation).";"(Par métonymie) Maisonnée ; famille."
18;gens;ngse;_ _ _ _;4;domesticité;hommes;monde;population;êtres;Personnes en nombre indéterminé.;Tous ceux qui sont d’un état, d’une profession quelconque. — Note :  il est suivi de la préposition de et d’un nom qui désigne cette profession, ou cet état.;Ceux qui sont d’un parti, par opposition à ceux de l’autre.
19;nuit;utin;_ _ _ _;4;borgnon;sorgue;ténèbres;opacité;obscurcissement;Période quotidienne durant laquelle le soleil est sous notre horizon et qu'il fait noir.;(Par extension) Obscurité, ténèbres.;Symbole de destruction, d’oubli, de mort, de néant.
20;soir;oirs;_ _ _ _;4;crépuscule;soirée;brune;couchant;après-souper;Moment de la journée qui se situe à la tombée du jour.;(En particulier) (Métrologie) Les heures de 17h à minuit, utilisées avec le cadran de 12 heures sont considérées comme étant le soir, ainsi que de l’après-midi, pour éviter l’ambigüité avec celles du matin.;Variante du verbe désuet seoir. Note :  Des dictionnaires décrivent cet infinitif en se référant aux Rectifications orthographiques de 1990 [1][2]. Cependant le Petit Larousse Référence nécessaire, qui se dit complet quant aux verbes concernés par ces rectifications, omet ce verbe.
21;bonjour;oornbuj;_ _ _ _ _ _ _;7;bonsoir;salut;bienvenue;coucou;;Formule de salutation utilisée lorsqu’on rencontre quelqu’un. Note :  Selon le moment de la journée, on utilisera bonjour ou bonsoir.;Formulation de salutation utilisée lorsqu’on quitte quelqu’un dans la journée comme on dirait bonne journée, ou la nuit bonsoir, bonne soirée. Note :  Emploi courant au Québec mais très rare en France, quoique consigné dans le Trésor de la langue française[1]. Mais en Belgique francophone, dans le Secret de la Licorne, Hergé fait dire à Tintin, « Bonjour Monsieur », lorsqu’il congédie le collectionneur, Ivan Ivanovitch Sakharine, qui insistait sans succès pour lui racheter une maquette de bateau.;(Populaire) Interjection marquant une réticence, un refus[2], un jugement de médiocrité.
22;peur;upre;_ _ _ _;4;frousse;frayeur;effroi;crainte;terreur;Crainte, frayeur, émotion pénible produite par l’idée ou la vue d’un danger.;"Crainte faible ; appréhension.";Quand.
23;maman;amanm;_ _ _ _ _;5;mère;;;;;(Familier) ou (Langage enfantin) Mère.;(En particulier) Nom donné à la mère par son enfant (y compris à l’âge adulte), pour la désigner affectueusement.;(Afrique centrale) Dame, madame.
24;problème;rmoèlbpe;_ _ _ _ _ _ _ _;8;hic;question;couac;anicroche;difficulté;Question scientifique à résoudre.;(Familier) Question difficile à résoudre.;(Familier) Difficulté, ennui, souci.
25;argent;etngra;_ _ _ _ _ _;6;monnaie;finance;fonds;espèces;fortune;(Chimie) Métal solide en conditions atmosphériques, de numéro atomique 47, de symbole Ag. Connu depuis l’antiquité, ce métal blanc, ductile, est considéré comme précieux tant pour sa rareté que pour ses qualités physicochimiques.;(Par extension) (Chimie) Élément chimique de ce métal.;(Vieilli) Ressource monétaire sous forme de pièces de monnaie dans ce métal.
26;main;mnai;_ _ _ _;4;patte;griffe;poigne;patoche;pince;(Anatomie) Partie du corps humain située au bout du bras, qui s’étend du poignet jusqu’au bout des doigts, qui sert à la préhension et au toucher.;(Par extension) Habileté manuelle.;(Par analogie) (Zoologie) Partie correspondante chez les animaux dont l’extrémité du membre postérieur est douée de préhension avec un pouce opposé aux autres doigts. (définition trop restrictive à préciser ou à vérifier)
27;fils;ifls;_ _ _ _;4;héritier;gars;géniture;enfant;rejeton;Tout être humain du sexe masculin considéré par rapport à son père et à sa mère, ou à un des deux seulement.;(Figuré) Celui qu’on regarde ou qu’on aime comme son fils.;Descendant de sexe masculin.
28;tête;ttêe;_ _ _ _;4;visage;figure;binette;bouille;face;(Anatomie) Partie supérieure du corps, qui est le siège du cerveau et des principaux organes des sens, et qui, chez l’être humain et chez la plupart des vertébrés, tient au reste du corps par le cou.;(En particulier) Crâne.;(Familier) Figure, visage, physionomie.
29;coup;ucop;_ _ _ _;4;torgnole;beigne;blessure;choc;atteinte;Impression que fait un corps sur un autre en le frappant.;(Figuré) Se dit en parlant des choses qui nuisent, qui causent un sentiment pénible, etc.;Charge d’une arme à feu.
30;raison;isaorn;_ _ _ _ _ _;6;bon sens;motif;entendement;esprit;cause;(Au singulier) Faculté intellectuelle par laquelle l’homme connaît, juge et se conduit.;(Au singulier) (En particulier) (Philosophie) Ensemble de principes philosophiques de la connaissance ou de l'action;(Au singulier) Faculté de raisonner, d’établir des démonstrations, d’administrer des preuves.
31;mort;ortm;_ _ _ _;4;éteint;anéantissement;décédé;disparition;inerte;(Biologie) Arrêt définitif des fonctions vitales (assimilation de nutriments, respiration, fonctionnement du système nerveux central).;Moment ou lieu où cet arrêt des fonctions vitales se produit.;(Soutenu) La mort peut être souvent personnifiée → voir Mort.
32;amour;oruma;_ _ _ _ _;5;passion;attachement;affection;amourette;flirt;Sentiment intense et agréable qui incite les êtres à s’unir.;(Par extension) (Mélioratif) Plaisir, intérêt, voire obsession.;Copulation, relation sexuelle, union charnelle.
33;moment;mmeton;_ _ _ _ _ _;6;époque;période;instant;heure;temps;Point dans le temps.;Une certaine durée, qui n’est pas considérée comme très longue, mais malgré tout plus longue qu’un instant.;(Mécanique) Produit d’une force par le bras du levier, suivant lequel elle agit.
34;voiture;teiouvr;_ _ _ _ _ _ _;7;automobile;bagnole;chignole;tacot;véhicule;Véhicule consistant en une caisse montée sur des roues.;(En particulier) Automobile.;(Chemin de fer) Élément d’un train destiné au transport de passagers, par opposition au wagon qui est utilisé pour la marchandise.
35;oeil;iloe;_ _ _ _;4;regard;prunelle;judas;bourgeon;globe oculaire;Orthographe par contrainte typographique d’œil.;Variante de ueil.;
36;fait;tiaf;_ _ _ _;4;évènement;aventure;cas;épisode;affaire;"Réalisé ; construit ; confectionné ; fabriqué ; exécuté.";(Avec un adverbe de manière ou un comparatif) Constitué, conformé.;(Vieilli) Accoutré, arrangé.
