Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
7100;liposuccion;sloipuiccon;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;;;;;;Opération de chirurgie esthétique permettant un remodelage de la silhouette par l’aspiration d’amas graisseux.;;
7102;pendentif;fnnptieed;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;pendeloque;girandole;sautoir;pendant;panache;(Architecture) Portion de voûte sphérique, placée entre les grands arcs qui supportent une coupole.;(Bijouterie) Bijou qui pend à une chaînette, à un collier.;
7103;percussion;sceoupsirn;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;auscultation;exploration;impulsion;heurt;choc;(Didactique) Choc résultant de l’action brusque d’un corps sur un autre.;(Médecine) Méthode d’exploration qui consiste à frapper telles ou telles surfaces du corps, pour reconnaître l’état de tels ou tels organes intérieurs.;(Musique) Instrument dont on joue en le frappant, tel que le tambourin, les timbales, les cymbales, etc.
7105;réparateur;rpraeatréu;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;analeptique;raccommodeur;fortifiant;tonique;;Celui, celle qui répare.;Qui répare.;
7106;soulèvement;suenmeltovè;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;révolte;insurrection;émeute;mutinerie;sédition;"Action de soulever ; mouvement de ce qui est soulevé.";(Géologie) Mouvement de l’écorce terrestre se traduisant par des oscillations verticales des masses continentales.;(Figuré) Mouvement de révolte.
7107;vieillissement;lenviessiemtli;˽ ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽ ˽;14;désuétude;flétrissement;obsolescence;vieillesse;sclérose;"État de ce qui vieillit ; acheminement à la vieillesse.";;
7109;égarement;négetmear;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;folie;aliénation;délire;dérèglement;aberration;(Surtout au figuré) Action de s’égarer.;(En particulier) Dérèglement de mœurs.;
7114;diminution;umitiidonn;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;affaiblissement;réduction;abaissement;baisse;dégradation;Action de diminuer, fait de devenir moindre.;Réduction du nombre de mailles d’un rang en cours de tricotage.;(Au sens abstrait, pour une réalité non mesurable) Atténuation, adoucissement, apaisement.
7117;extrémiste;smetéritex;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;gauchiste;contestataire;ultra;progressiste;anarchiste!;Qui tient de l’extrémisme.;Celui, celle qui est partisan des idées et des résolutions extrêmes. — Note d’usage :  Il s’emploie surtout dans la langue politique.;
7119;garniture;teigunrra;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;ornement;feston;falbala;passement;chamarrure;Ce qui est mis à une chose pour la garnir, la compléter, l’orner, l’embellir.;(Cuisine) Assaisonnement ou accompagnement d’un plat.;Ce qui se met à une chose pour la renforcer, pour la faire durer plus longtemps.
7121;incarnation;ianinotacrn;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;personnification;métamorphose;avatar;symbole;expression;(Religion) Action de s’incarner aux yeux des humains, pour un esprit, une déité, un dieu.;(En particulier) (Christianisme) Action par laquelle Dieu s’est fait homme, en restant dieu, dans la personne de Jésus-Christ.;Avatar.
7122;informaticien;iaerctiofnmin;˽ ˽ ˽  ˽ ˽ ˽  ˽  ˽ ˽ ˽  ˽ ˽ ˽;13;programmeur;analyste;;;;Professionnel travaillant à l’étude des ordinateurs, de leurs systèmes d’exploitation, des systèmes de communication entre ordinateurs, des appareils fixes ou mobiles utilisant des programmes, et des logiciels qui les équipent.;;
7125;optimiste;metistopi;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;confiant;philosophe;présomptueux;insouciant;gai;Qui a rapport à l’optimisme.;Qui est disposé naturellement à trouver que tout est bien, que tout va bien, à être content de tout.;Dont l'avenir est assuré et radieux.
7127;percepteur;cuepprerte;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;collecteur;fisc;;;;Fonctionnaire qui est préposé au recouvrement des impôts.;;
7128;professionnalisme;oaslfniprsenoiesm;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽  ˽  ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;17;efficacité;compétence;;;;Variante de professionalisme.;;
7134;trapéziste;rztéetipsa;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;acrobate;saltimbanque;;;;Gymnaste ou acrobate qui fait des acrobaties au trapèze.;;
7136;varicelle;vraiecell;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;;;;;;(Nosologie) Maladie infectieuse et contagieuse, qui affecte particulièrement les enfants et qui est caractérisée par une éruption de petites vésicules.;Pluriel de varicella.;
7137;banqueroute;ueetnqbauor;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;krach;faillite;déconfiture;dépôt de bilan;désastre;Délit accompli par le commerçant ou dirigeant qui commet certaines fautes graves alors qu'a lieu le redressement ou la liquidation judiciaire du commerce ou de la société gérée, pour cause d’insolvabilité réelle ou feinte.;(Familier) État d'une entreprise ou d'une autre entité qui ne peut plus faire face à ses dettes.;(Figuré) Échec total.
7139;bourgmestre;tgrormeusbe;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;magistrat;;;;;(Belgique) (Luxembourg) Titre du premier magistrat des villes de Belgique, du Luxembourg, des Pays-Bas, d’Allemagne, etc.;;
7143;chronomètre;ocoèenrhmrt;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;chronographe;chrono;coucou;horloge;montre;Instrument qui sert à mesurer le temps.;Montre dont l’exécution est si parfaite qu’elle peut servir aux observations des marins et des astronomes.;Première personne du présent de l’indicatif de chronométrer.
7144;commanditaire;cndeiaoartmim;˽ ˽ ˽  ˽ ˽ ˽  ˽  ˽ ˽ ˽  ˽ ˽ ˽;13;financeur;prêteur;sponsor;bailleur;pourvoyeur;(Commerce) Celui qui n’est que simple bailleur de fonds dans une société en commandite.;(Par extension) Personne physique ou morale apportant un soutien financier à une entreprise.;Entité qui passe commande d’un service ou d’un bien.
7145;condensateur;teorcsdneuna;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;12;condenseur;électrophore;accumulateur;batterie;;Qui condense.;(Physique) (Vieilli) Condenseur.;(Électronique) Instrument disposé de manière que l’électricité s’y accumule.
7147;diversité;dteisrvéi;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;hétérogénéité;multiformité;multiplicité;dissemblance;disparité;État de ce qui est divers.;(Sociologie) Ensemble formé par les minorités visibles issues de l’immigration ou de l’outre-mer.;
7148;exclusion;cseonulxi;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;éviction;expulsion;excommunication;bannissement;ostracisme;Action d’exclure ou fait d’être exclu.;;
7152;isolation;naoitsoil;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;insonorisation;climatisation;isolement;solitude;séparation;Action d’isoler.;(En particulier) (Physique) Action d’isoler le corps que l’on veut électriser.;(Bases de données) Capacité d'un système d'isoler les modifications dans une transaction en cours de celles faites dans les autres transactions conduites simultanément, jusqu'à ce qu'elle soit complétée.
7154;maladresse;easrsemadl;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;bévue;impair;balourdise;gaffe;ânerie;Défaut d’adresse.;(Figuré) Manque de savoir-faire ou manque d'habileté à bien faire.;
7157;plaquette;tpauleteq;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;fascicule;livraison;livret;brochure;lame;Petit volume qui a fort peu d’épaisseur relativement à son format.;(Biologie) Élément constitutif du sang jouant un rôle très important dans la coagulation.;(Automobile) Plaquettes de frein, pièce venant frotter sur le disque
7159;réchauffement;cuffméhenrtea;˽ ˽ ˽  ˽ ˽ ˽  ˽  ˽ ˽ ˽  ˽ ˽ ˽;13;température;réchaud;échauffement;adoucissement;;Fait de se réchauffer.;Action de donner de la chaleur.;(Météorologie) (Climat) Augmentation de la température.
7162;écorchure;couérrhec;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;éraflure;éraillure;griffure;excoriation;éraillement;Éraflure de la peau, ou de tout autre chose.;;
7163;assemblage;mlbgaesaes;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;réunion;amas;tas;union;accumulation;Action d’assembler ou résultat de cette action.;(Informatique) Compilation produisant du langage machine à partir d’un langage d’assemblage.;(Œnologie) Action de composer un vin avec plusieurs cépages de la même année.
7166;bigorneau;nriabugeo;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;vignot;littorine;bigophone;écouteur;bigorne;Coquillage marin comestible à forme d’escargot, du genre Littorina, en particulier Littorina littorea.;Tout autre coquillage de forme analogue.;(Arts) Petite bigorne. [1]
7168;confinement;oticenfenmn;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;réclusion;;;;;(Nucléaire) (Sécurité nucléaire) Maintien de matières radioactives à l’intérieur d’un espace déterminé grâce à un ensemble de dispositions visant à empêcher leur dispersion en quantités inacceptables au-delà de cet espace.;(Nucléaire) (Sécurité nucléaire) Par extension, ensemble des dispositions prises pour assurer ce maintien.;
7169;coqueluche;hluqeceocu;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;idole;favori;bonnet;;;(Nosologie) Maladie qui atteint principalement les enfants et caractérisée par une toux convulsive.;Personne particulièrement en vogue, favori.;(Par extension) (Rare) Chose appréciée, affection, engouement.
