Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
4241;amélioration;éoriatnoilma;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;12;amendement;réforme;perfectionnement;restauration;progrès;Action de prendre quelque chose pour le transformer en le rendant meilleur;Résultat de cette action.;Investissement dans un fonds de terre ou dans une maison pour les mettre en état et pour en augmenter le revenu.
4247;gouvernail;eolirgvnau;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;leviers de commande;manche à balai;peautre;empennage;timon;Dispositif mobile, fixé à l’arrière d’un navire, d’un bateau, d’un avion qui sert à lui faire prendre telle ou telle direction, le faire aller du côté qu’on veut.;(Figuré) Gouvernement d’un État ou d’une grande entreprise.;
4249;inconscient;cinctisnoen;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;irréfléchi;inconséquent;machinal;instinctif;involontaire;(Psychologie) État ou d’un acte qui, se produisant chez un sujet capable de se percevoir lui-même, échappe accidentellement ou normalement à sa perception.;Qui n’est pas doté de conscience, qui n’est pas capable, accidentellement ou normalement, de se percevoir soi-même.;(Courant) Qui est irréfléchi.
4250;majordome;mmdojoera;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;factotum;serviteur;;;;Chef du service intérieur de la maison d’un souverain.;(Par extension) Personne qui encadre le personnel de service d'une maison.;(Par extension) Valet de nuit.
4251;mercenaire;reneiemcar;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;cupide;engagé;intéressé;légionnaire;stipendié;Dont on trouve commode d’acheter le service, ou l’usage pour une période limitée. Salarié en contrat à durée limitée.;(Spécialement) (Militaire) Qualifie les troupes le plus souvent étrangères dont on se sert pour faire la guerre.;(Péjoratif) Qui se laisse corrompre du fait de sa cupidité, et à qui on peut faire faire tout ce qu’on veut, en payant ce qu'il faut.
4254;solidarité;todlriiéas;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;fraternité;mutualité;coopération;entraide;réciprocité;Sentiment qui pousse des personnes à s’accorder une aide mutuelle, soit par devoir moral, soit parce qu’une communauté d’intérêts existe entre elles.;Système de redistribution de ressources nationales vers une partie de la population.;(Droit) Engagement par lequel deux ou plusieurs personnes s’obligent les unes pour les autres, et chacune pour toutes.
4257;brigadier;egriaribd;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;caporal;gendarme;bâton;chef-fe;;(Militaire) Militaire avec un grade correspondant à celui de caporal dans certaines armes (les armes montées), notamment dans la gendarmerie, la cavalerie ou l'artillerie.;(Police) Sous-officier, dans la police.;(Marine) Matelot à l’avant d’une embarcation dont le rôle est de guider l’accostage.
4260;clandestin;tlendcians;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;occulte;furtif;subreptice;illicite;caché;Qui se fait en cachette et contre les lois ou la morale.;Personne qui agit de manière clandestine.;(En particulier) Personne présente dans un territoire sans titre de séjour valide.
4261;distinction;sndttiniico;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;courtoisie;élégance;honneur;urbanité;politesse;Action de séparer nettement une chose d’une autre.;(En particulier) Indication, séparation des divers sens qu’une proposition peut recevoir.;Opération de l’esprit par laquelle on distingue une chose d'une autre.
4270;gymnastique;astiuqynemg;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;sport;exercice;agonistique;athlétisme;culture physique;Qui est relatif aux exercices du corps.;(En particulier) Qualifie un pas de course cadencé.;Art, l’action d’exercer le corps pour le fortifier.
4273;transplantation;nortsltnaaaiptn;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;15;transplant;repiquage;transmigration;émigration;migration;Action de transplanter.;(En particulier) (Agriculture) Action de déplanter, pour replanter dans un lieu différent.;(En particulier) (Médecine) Action de prélever un organe sur un individu, et de le greffer ensuite sur un autre.
4274;acclamation;aoimalctcna;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;ovation;bis;bravo;applaudissement;vivat;Cris de joie ou d’enthousiasme qu’excite une action ou une personne.;Cri unanime des membres d’une assemblée pour approuver, pour montrer leur choix.;
4276;gladiateur;guietdaral;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;belluaire;mirmillon;rétiaire;arénaire;bestiaire;(Antiquité romaine) Combattant qui, dans les jeux du cirque de la Rome antique, participait volontairement ou de force à des joutes pour l’amusement des spectateurs, avec des armes meurtrières, soit contre d’autres personnes, soit contre des bêtes féroces.;;
4289;fourrière;ofeurrrèi;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;;;;;;(Vieilli) Endroit où l'on conservait le fourrage.;(Histoire) Office qui fournissait le bois de chauffage pour la maison du roi.;(Construction) Lieu de dépôt où la police a le droit de faire conduire les animaux errants, les voitures délaissées sur la voie publique, etc. À l’origine il ne s’agissait que d’animaux errants qui étaient mis en un lieu où on leur donnait du fourrage, dont le prix était ensuite réclamé au propriétaire.
4296;ravitaillement;eetrniaimltlav;˽ ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽ ˽;14;approvisionnement;avitaillement;réapprovisionnement;subsistances;logistique;(Logistique) Action de ravitailler.;(Aéronautique) Opération d’approvisionnement d’un aéronef couvrant la restauration et les besoins du service en vol.;
4298;biographie;gpoaeiihbr;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;mémoires;prière d'insérer;biopic;bio;autobiographie;Récit de la vie d’une personne.;Science des écrits relatifs à ce genre d’ouvrages.;Première personne du singulier de l’indicatif présent du verbe biographier.
4299;destroyer;rrseeoydt;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;contre-torpilleur;;;;;Navire de guerre de moyen tonnage, armé de canons, de torpilles et de missiles, destiné à la protection des escadres, des porte-avions et des convois.;;
4301;intervalle;elraevlnti;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;interstice;pause;distance;entracte;espace;Distance d’un lieu à un autre.;Période de temps qui sépare un fait d’un autre.;(En particulier) (Musique) Distance qu’il y a d’une note à une autre, en allant de l’aigu au grave ou du grave à l’aigu.
4302;irruption;onruritip;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;incursion;raid;invasion;envahissement;descente;Entrée soudaine et imprévue des ennemis dans un pays, ordinairement accompagnée de dégât et de ravage.;(Par extension) Toute entrée ou intrusion brusque, inattendue ou malvenue.;(Par extension) Débordement, envahissement de la mer, d’un fleuve sur les terres.
4306;application;inippctaoal;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;attention;soin;concentration;zèle;méditation;Action d’appliquer.;Résultat de cette action.;"Ce qui est réalisé pratiquement ; ce qui devient réalité de notions théoriques."
4307;cascadeur;aduseccar;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;sauteur;bambocheur;doublure;noceur;viveur;Artiste sportif qui double un acteur dans les scènes dangereuses ou acrobatiques.;;
4308;composant;nacsomotp;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;constituant;composante;élément;ingrédient;corps;Élément d'un ensemble plus complexe (ou composite), ou entrant dans la composition d’une autre chose.;(Construction) Produit fabriqué comme unité distincte pour une ou plusieurs fonctions spécifiques, destiné à être intégré dans une construction.;Qui sert à composer.
4311;feuilleton;tofnileleu;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;rubrique;chronique;nouvelle;roman;anecdote;Partie de certains journaux, ordinairement au bas des pages, et contenant des articles de littérature, de critique, de beaux-arts, ou des romans.;(Par extension) Roman publié en feuilleton.;(Par extension) Succession d’événements.
4312;fréquentation;fetoéuqntarni;˽ ˽ ˽  ˽ ˽ ˽  ˽  ˽ ˽ ˽  ˽ ˽ ˽;13;accointance;relation;intimité;contact;liaison;Action de fréquenter ou de se fréquenter.;Relation de société.;
4314;guérillero;rlurlgéoie;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;maquisard;pistolero;franc-tireur;combattant;insoumis;Personne combattant dans une guérilla.;;
4316;prototype;eotpoyrpt;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;archétype;maquettage;premier exemplaire;princeps;étalon;(Technique) Première ébauche fonctionnelle d’un objet, d'un concept ou d’une idée développée par un concepteur, afin d'en évaluer la pertinence.;(Programmation informatique) Type d’objet propre à la programmation orientée prototype.;(Sports mécaniques) Engin fabriqué uniquement pour une saison ou une compétition. Ces engins ne sont pas forcément uniques, mais leur(s) spécification(s) varie(nt) très souvent en fonction des contraintes du moment.
4320;alligator;lalraoigt;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;caïman;gavial;crocodile;;;(Zoologie) Reptile saurien qui a la tête plus ramassée que le crocodile et qui vit dans les fleuves du nord de l’Amérique du Sud et dans certains fleuves de Chine.;;
4323;successeur;euucecsssr;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;continuateur;héritier;dauphin;épigone;suivant;Personne qui succède à une autre dans une fonction, un titre, un rôle ou une institution.;(Mathématiques) Nombre ou point qui suit un autre.;(Théorie des graphes) Pour un sommet donné, autre sommet qui se situe à la fin d'un arc incident vers l’extérieur du premier.
4324;supplément;usémtenlpp;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;complément;addition;surcroît;surplus;rallonge;Ajout à quelque chose.;Surplus de prix, dans les théâtres, dans les chemins de fer, pour une place ou une classe supérieure.;Dans les restaurants à prix fixe, ce qu’on prend au-delà du menu.
4326;baliverne;vrneebila;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;fadaise;sornette;niaiserie;calembredaine;faribole;"(Familier) Propos frivole ; occupation futile.";Première personne du singulier de l’indicatif présent de baliverner.;Troisième personne du singulier de l’indicatif présent de baliverner.
4330;célébration;écnitraéobl;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;commémoration;éloge;anniversaire;cérémonie;louange;Action de célébrer.;;
4331;débarquement;dqmrébeuatne;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;12;débardage;déchargement;abordage;incursion;descente;Action de débarquer.;Action d’une personne qui débarque.;
4333;mentalité;amtltnéie;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;état d'esprit;opinion publique;moeurs;moral;moralité;"État d’esprit ; habitudes de pensée.";;
4334;électricien;éeleriintcc;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;;;;;;Personne qui s’occupe d’électricité, de l’installation des câbles ou de leur maintenance.;;
4340;hypothèque;hèytoehpqu;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;nantissement;gage;garantie;sûreté;privilège;(Droit) Accord entre celui qui emprunte de l’argent (le propriétaire) et celui qui fournit l’argent (le créancier). Si le montant d’argent (qui est égal à la valeur de la propriété) n’est pas remboursé, le créancier peut devenir le propriétaire du bien. (En jargon juridique : droit réel qui grève les immeubles affectés à la sûreté, à l’acquittement d’une obligation, d’une dette, et qui les suit en quelques mains qu’ils passent.);Première personne du singulier du présent de l’indicatif de hypothéquer.;Troisième personne du singulier du présent de l’indicatif de hypothéquer.
4346;fossoyeur;foyroeuss;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;enterreur;naufrageur;démolisseur;;;Celui qui creuse les fosses pour enterrer les morts.;(Figuré) Celui qui met fin à un monde déjà en déliquescence.;
4348;millimètre;ièirlmemtl;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;;;;;;(Métrologie) Unité de mesure de longueur du Système international (SI), valant 10−3 mètre, et dont le symbole est mm.;Première personne du singulier du présent de l’indicatif de millimétrer.;Troisième personne du singulier du présent de l’indicatif de millimétrer.
4349;renaissance;aannsieecrs;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;renouveau;régénération;rénovation;résurrection;palingénésie;Seconde, nouvelle naissance.;Renouvellement, renouveau.;(Figuré) Réapparition après une interruption, en parlant des choses morales ou intellectuelles.
4352;abondance;acbdoeann;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;profusion;richesse;surabondance;affluence;opulence;Grande quantité, quantité dépassant les besoins, pléthore, profusion.;(Absolument) Conditions de vie où les ressources disponibles dépassent les besoins.;Facilité d’expression et d’élocution.
4353;autonomie;aeimoonut;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;indépendance;autarcie;self-government;anomie;autosuffisance;État de ce qui est autonome, qui n’obéit pas à la loi ou à la règle d’autrui.;(Spécialement) Capacité à gérer seule sa vie quotidienne en parlant d’une personne.;(Technique) Temps de fonctionnement d'une machine avec le plein en énergie ou en produit indispensable au fonctionnement.
4356;contravention;onieoncntartv;˽ ˽ ˽  ˽ ˽ ˽  ˽  ˽ ˽ ˽  ˽ ˽ ˽;13;infraction;pénalité;contredanse;transgression;amende;(Droit) Action de contrevenir à une loi, à une ordonnance, à un règlement, à un décret ou à un contrat qu’on a fait.;"(En particulier) Dans la législation pénale, action de contrevenir aux règlements de police ; par opposition aux délits et aux crimes.";(Police) Procès-verbal fait par la police de cet acte contraire aux règlements, en particulier le code de la route, auquel est souvent jointe une injonction de payer.
4357;footballeur;taobulerfol;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;;;;;;(Football) (Anglicisme) Sportif qui pratique le football.;;
4360;porcherie;ieephrcor;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;boiton;écurie;soue;étable;chenil;(Élevage) Lieu où on élève des porcs.;(Figuré) Lieu très sale.;
4362;versement;vsnereemt;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;arrhes;financement;paiement;dépôt;;Action de verser.;(Finance) Action de verser de l’argent dans une caisse.;
4363;avalanche;havencaal;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;déluge;pluie;cataracte;flot;kyrielle;(Sens propre) Masse considérable de neige qui se détache du sommet des hautes montagnes et s’écoule parfois jusque dans les vallées. Ce peut être aussi le mouvement de cette masse de neige.;(Par analogie) Masse importante d’une chose qui tombe sur quelque chose ou quelqu’un.;Flux important de choses.
4364;concombre;orcncmeob;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;zuchette;courge;cucurbitacée;cornichon;coloquinte;Plante potagère de la famille des cucurbitacées qui produit des fruits allongés.;(Par extension) Fruit de cette plante.;(Québec) (Familier) Idiot, imbécile.
4366;détermination;rténiomaindte;˽ ˽ ˽  ˽ ˽ ˽  ˽  ˽ ˽ ˽  ˽ ˽ ˽;13;décision;résolution;volonté;caractérisation;dessein;Action de déterminer, de délimiter avec précision, de caractériser sans ambiguïté, clairement.;Résolution qu’on prend après avoir balancé entre plusieurs partis.;(Philosophie) Action par laquelle une chose, également susceptible de plusieurs qualités, de plusieurs manières d’être, est déterminée à recevoir l’une plutôt que l’autre.
4367;incapacité;tiiéccaanp;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;impuissance;incompétence;impéritie;insuffisance;inhabileté;État de celui qui est incapable de quelque chose.;(Droit) État d’une personne que la loi prive de certains droits.;Participe passé masculin singulier de incapaciter.
4368;insolence;eslicenno;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;effronterie;impertinence;arrogance;impudence;irrévérence;Manque de respect qui se manifeste par de l’effronterie et une hardiesse excessive.;Paroles et actions où il y a de l’insolence.;(Parfois) Orgueil offensant.
4369;nationalisme;tasaeiinmlno;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;12;patriotisme;chauvinisme;civisme;xénophobie;autonomisme;Sentiment qui consiste dans l’exaltation de l’idée nationale, doctrine politique basée sur ce sentiment.;;
4372;simplicité;tmliépcisi;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;naïveté;candeur;ingénuité;crédulité;sincérité;Qualité de ce qui n’est pas composé.;Caractère de ce qui n’est pas compliqué.;Caractère de ce qui est sans apprêt, sans recherche.
4383;magouille;igumaolle;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;fricotage;tripatouillage;tripotage;grenouillage;cuisine;Action douteuse ou malhonnête voire illicite ou illégale.;Première personne du singulier du présent de l’indicatif de magouiller.;Troisième personne du singulier du présent de l’indicatif de magouiller.
4387;animateur;mnaeairtu;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;meneur;entraîneur;promoteur;protagoniste;moteur;Personne qui anime un groupe.;Personne qui réalise l’animation d’un dessin animé.;(Audiovisuel) Personne chargée de préparer, de présenter, d'expliquer et de coordonner les divers éléments constitutifs d'une émission télévisée ou radiophonique.
4391;découvert;ceturvéod;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;déficit;déboisé;dévoilé;trouvé;connu;Qui n’est pas couvert.;(Par extension) Ouvert, exposé.;(Banque) Ensemble des avances consenties par un banquier à ses clients.
4401;candidature;atuerdandci;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;postulation;demande;;;;Poursuite que fait un candidat d’un titre, d’un emploi.;(Belgique) Premier grade universitaire qui s'effectue en deux ou trois ans.;
4403;corbeille;lceiebrlo;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;parquet;parterre;manne;panier;ciste;Panier souvent fait d’osier.;(Bourse de Paris) Espace vide entouré d’une clôture autour duquel les agents de change négociaient les effets publics.;Poubelle à papiers.
4404;couvercle;oececlrvu;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;chape;chapiteau;couvre-plat;chapeau;soupape;Pièce fixée ou non à un récipient et qui s’adapte à son ouverture pour le fermer plus ou moins hermétiquement.;;
4405;grossièreté;resrègséoti;˽ ˽ ˽  ˽ ˽  ˽ ˽  ˽ ˽ ˽ ˽;11;inconvenance;impolitesse;obscénité;rusticité;indécence;Caractère de ce qui manque de finesse, de délicatesse.;Rudesse qui vient du défaut de culture, d’éducation.;Impolitesse, défaut de civilité dans ce qu’on dit ou ce qu’on fait.
4406;mascarade;smrecdaaa;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;9;carnaval;momerie;déguisement;momon;chienlit;Déguisement d’une personne qui se masque pour quelque divertissement.;(Par extension) (Figuré) Simulacre de quelque chose.;Troupe de gens déguisés et masqués.
4408;somnambule;lbanmousme;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;noctambule;devin;;;;Qui se lève tout endormi et qui marche, agit, parle sans s’éveiller.;Celui ou celle qui se lève tout endormi et qui marche, agit, parle sans s’éveiller.;Personne qui est sous l'influence du sommeil hypnotique.
4410;surnaturel;uunrtlsaer;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;thaumaturgique;immatériel;féerique;parapsychique;féerie;Qui est au-dessus des possibilités de la nature.;"Que l'on ne peut expliquer à partir des lois de la nature ; contraire à la raison.";(Par hyperbole) Extraordinaire. 
4413;croisement;crmeesotin;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;carrefour;croisée;entrecroisement;intersection;embranchement;Action par laquelle deux choses se croisent;Résultat de cette action.;(Voirie, Réseaux) Endroit où deux voies ou deux lignes se croisent.
4415;magnétophone;nmeoétphgnoa;˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽  ˽ ˽ ˽;12;enregistreur;;;;;(Audiovisuel) Outil permettant d'enregistrer des sons sur un support magnétique amovible.;;
4416;scénariste;erncisésta;˽ ˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽ ˽;10;adaptateur;librettiste;auteur;;;Auteur de scénarios.;;
