"","lemme","freqlemfilms2","nb_lettres","anagramme"
"1","chose",1773.62,5,"ohcse"
"2","homme",1123.55,5,"moehm"
"3","jour",1061.92,4,"oruj"
"4","femme",1049.32,5,"efmme"
"5","temps",1031.05,5,"empst"
"6","dieu",903.41,4,"ideu"
"7","fois",899.25,4,"oisf"
"8","père",895.55,4,"erpè"
"9","fille",841.56,5,"illef"
"10","monde",830.72,5,"dmeon"
"11","besoin",771.24,6,"ebiosn"
"12","accord",766.2,6,"arodcc"
"13","monsieur",739.12,8,"eusimron"
"14","enfant",735.59,6,"enatfn"
"15","heure",709.79,5,"uehre"
"16","mère",686.79,4,"erèm"
"17","maison",605.75,6,"anosim"
"18","gens",594.29,4,"ngse"
"19","nuit",586.54,4,"utin"
"20","soir",575.7,4,"oirs"
"21","bonjour",570.57,7,"oornbuj"
"22","peur",557.21,4,"upre"
"23","maman",540.21,5,"amanm"
"24","problème",520.07,8,"rmoèlbpe"
"25","argent",515.1,6,"etngra"
"26","main",499.6,4,"mnai"
"27","fils",480.15,4,"ifls"
"28","tête",475.87,4,"ttêe"
"29","coup",471.82,4,"ucop"
"30","raison",467.94,6,"isaorn"
"31","mort",460.05,4,"ortm"
"32","amour",458.27,5,"oruma"
"33","moment",433.59,6,"mmeton"
"34","voiture",429.4,7,"teiouvr"
"35","oeil",413.04,4,"iloe"
"36","fait",412.07,4,"tiaf"
"37","question",411.82,8,"tqseonui"
"38","affaire",393.83,7,"ffaiare"
"39","frère",390.39,5,"rrèef"
"40","travail",389.83,7,"rtlaiva"
"41","idée",389.77,4,"iéde"
"42","famille",384.92,7,"mafleil"
"43","truc",381.34,4,"curt"
"44","merci",379.38,5,"ecirm"
"45","chance",360.6,6,"canceh"
"46","histoire",359.92,8,"retiisoh"
"47","minute",342.28,6,"enimut"
"48","type",334.85,4,"tpye"
"49","porte",333.85,5,"potre"
"50","tout",330.7,4,"otut"
"51","année",316.25,5,"enané"
"52","mois",312.31,4,"somi"
"53","madame",307.36,6,"aemmad"
"54","putain",306.74,6,"patuni"
"55","part",305.89,4,"tapr"
"56","sang",304.75,4,"snga"
"57","place",301.3,5,"aelcp"
"58","personne",296.74,8,"enreopsn"
"59","ville",295.14,5,"lielv"
"60","terre",294.45,5,"trree"
"61","semaine",290.85,7,"snimaee"
"62","gars",289.63,4,"srga"
"63","chambre",288.64,7,"cmaberh"
