Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
40842;entrelacer;ltanreecer;_ _ _ _ _ _ _ _ _ _;10;entrecroiser;natter;mêler;nouer;tresser;Enlacer l’un dans l’autre.;;
40845;rebaptiser;riasbertep;_ _ _ _ _ _ _ _ _ _;10;débaptiser;renommer;;;;Renommer.;(Religion) (Plus rare) Baptiser une seconde fois.;
40847;rechigner;erregchin;_ _ _ _ _ _ _ _ _;9;renâcler;bouder;grogner;répugner;chigner;(Familier) Témoigner par l’air de son visage la mauvaise humeur où l’on est, le chagrin, la répugnance que l’on éprouve.;Mettre de la mauvaise volonté à faire quelque chose.;
40849;rentraire;eraritern;_ _ _ _ _ _ _ _ _;9;ravauder;repriser;raccommoder;coudre;stopper;"Recoudre, rejoindre deux morceaux de drap, ou de quelque autre étoffe, qui ont été déchirés, coupés ; joindre bord contre bord deux morceaux qui n’étaient pas joints, en sorte que la couture ne paraisse point.";;
40851;transcrire;rrrticneas;_ _ _ _ _ _ _ _ _ _;10;copier;inscrire;recopier;noter;grossoyer;Copier un écrit.;(Musique) Noter de la musique pour un instrument autre que celui pour lequel elle a été écrite.;Opération qui consiste à substituer à chaque phonème (on parle alors de transcription phonologique) ou à chaque son (transcription phonétique) d’une langue un graphème ou un groupe de graphèmes d’un système d’écriture.
40852;banaliser;irneslaab;_ _ _ _ _ _ _ _ _;9;embourgeoiser;prosaïser;normaliser;;;Rendre banal.;;
40855;converser;serovrenc;_ _ _ _ _ _ _ _ _;9;s'entretenir;dialoguer;chatter;deviser;causer;S’entretenir plus ou moins familièrement avec quelqu’un.;(Théorie militaire) Exécuter une conversion.;Vivre, demeurer, rester.
40856;décortiquer;qeotdciérur;_ _ _ _ _ _ _ _ _ _ _;11;éplucher;monder;décérébrer;écaler;peler;Dégarnir de leur écorce des tiges d’arbres, ou de leur enveloppe des graines (leur glume).;(Figuré) Analyser avec soin.;
40861;occasionner;acoornncies;_ _ _ _ _ _ _ _ _ _ _;11;susciter;causer;provoquer;engendrer;faire naître;"Être l’occasion de quelque chose ; provoquer quelque chose.";;
40862;redécouvrir;rvdrréeicou;_ _ _ _ _ _ _ _ _ _ _;11;;;;;;Découvrir à nouveau ce qui a été couvert.;"Connaître à nouveau quelque chose que l'on connaissait déjà ; reprendre conscience de quelque chose jadis connu.";Connaître pour la première fois ce qui à déjà été découvert par quelqu’un d’autre, parfois sous un aspect différent.
40863;ressurgir;ssrregrui;_ _ _ _ _ _ _ _ _;9;renaître;revenir;;;;Surgir une autre fois, de nouveau.;;
40866;roucouler;urroeulco;_ _ _ _ _ _ _ _ _;9;marivauder;flirter;caracouler;faire sa cour;jeter du grain;Faire entendre, en parlant des pigeons et des tourterelles, un murmure tendre, doux et monotone.;(Figuré) (Par plaisanterie) Tenir des propos tendres et langoureux.;(Transitif) Chanter ou parler tendrement, doucement et de façon monotone.
40872;cliqueter;eeirtclqu;_ _ _ _ _ _ _ _ _;9;cliquer;;;;;Produire un cliquetis.;;
40874;déprécier;rreipéécd;_ _ _ _ _ _ _ _ _;9;discréditer;sous-estimer;avilir;rabaisser;vilipender;Rabaisser une chose, une personne en l’estimant au-dessous de son prix, de sa valeur.;(Pronominal) Perdre de la valeur.;(Pronominal) Agir de sorte que l’on soit déprécié dans le regard d’autrui ou dans le sien propre, en parlant des personnes.
40876;gamberger;gegmaebrr;_ _ _ _ _ _ _ _ _;9;songer;projeter;imaginer;;;(Populaire) Réfléchir.;;
40877;magouiller;lgelmaouir;_ _ _ _ _ _ _ _ _ _;10;grenouiller;traficoter;bricoler;combiner;;Faire des magouilles.;Faire par des magouilles.;
40878;ratatiner;tiranrtea;_ _ _ _ _ _ _ _ _;9;rabougrir;racornir;momifier;rider;friper;Rapetisser.;(Familier) Endommager gravement.;(Argot) Tuer.
40880;réceptionner;enéctrrenopi;_ _ _ _ _ _ _ _ _ _ _ _;12;accueillir;recevoir;accepter;;;(Sens propre) Accomplir les formalités de réception de quelque chose, en particulier livraison de commande.;;
40882;surplomber;lsborrmepu;_ _ _ _ _ _ _ _ _ _;10;culminer;dominer;surmonter;saillir;couronner;"(Didactique) (Intransitif) Être hors de l’aplomb ; être en surplomb.";(Transitif) Se trouver au-dessus d’une chose, par une position hors d’aplomb.;
40884;télécommander;olrémdétanmce;_ _ _ _ _ _ _ _ _ _ _ _ _;13;téléguider;piloter;;;;Commander (un appareil, un véhicule) à distance.;;
40887;baragouiner;rbeogiruaan;_ _ _ _ _ _ _ _ _ _ _;11;bredouiller;bafouiller;balbutier;marmonner;jargonner;(Familier) Parler d’une façon incorrecte et inintelligible.;(Familier) (Péjoratif) Parler une langue étrangère devant quelqu’un qui ne la comprenant pas.;(Transitif) (Familier) Mal articuler un discours, le prononcer d’une manière inintelligible.
40888;bifurquer;uruiqferb;_ _ _ _ _ _ _ _ _;9;s'orienter;se tourner;être aiguillé;fourcher;se dédoubler;Se diviser en deux.;(Par extension) Changer de chemin.;(Par extension) Changer de direction.
40891;commanditer;dcteiomanmr;_ _ _ _ _ _ _ _ _ _ _;11;sponsoriser;financer;;;;Apporter des capitaux, comme commanditaire, pour créer ou développer une société en commandite.;(Figuré) (Péjoratif) Commander une action délictueuse ou criminelle et la financer.;
40895;idéaliser;léiiedras;_ _ _ _ _ _ _ _ _;9;sublimer;ennoblir;magnifier;mythifier;spiritualiser;Revêtir d’un caractère idéal une personne, une chose.;;
40898;raccommoder;ommaroredcc;_ _ _ _ _ _ _ _ _ _ _;11;repriser;ravauder;rabibocher;retaper;rapiécer;Remettre en ordre, réparer.;Redonner une bonne opinion de.;Remettre d’accord des personnes qui s’étaient brouillées, réconcilier.
40899;rembarrer;bremrearr;_ _ _ _ _ _ _ _ _;9;rabrouer;envoyer promener;remballer;éconduire;remiser;Repousser rudement, en parlant des personnes.;(Berry) Stopper un troupeau en faisant barrage[1].;
40900;ressouvenir;suersnoveir;_ _ _ _ _ _ _ _ _ _ _;11;souvenance;remembrance;ressouvenance;rappel;réminiscence;Se remémorer.;Se souvenir.;(Intransitif) (Impersonnel) Se remémorer.
40901;tchatcher;tcharthec;_ _ _ _ _ _ _ _ _;9;;;;;;Parler abondamment, souvent de façon charmante.;Par confusion avec tchater, échanger des textes ou des messages vocaux en temps réel à travers un réseau informatique.;
40902;tirailler;trareiill;_ _ _ _ _ _ _ _ _;9;écarteler;convulser;ballotter;houspiller;assiéger;Tirer une personne à diverses reprises, avec importunité ou avec violence.;(Figuré) (Plus courant) Importuner, harceler.;Tirer dans tous les sens sur quelque chose.
40904;boycotter;cytrtooeb;_ _ _ _ _ _ _ _ _;9;suspendre les relations;mettre à l'index;mettre en quarantaine;refouler;rejeter;Volontairement et systématiquement éviter, refuser d’acheter les produits ou services d'une entreprise ou d'une nation afin d'exprimer son désaccord envers leur comportement.;Boycotteur.;
40905;déhancher;énhecadrh;_ _ _ _ _ _ _ _ _;9;;;;;;Disloquer les hanches.;(Par analogie) Marcher en se balançant sur les hanches.;(Pronominal) (Figuré) Affecter une démarche molle et abandonnée.
40907;désemparer;earesdépmr;_ _ _ _ _ _ _ _ _ _;10;désarçonner;déboussoler;désaxer;démancher;disloquer;(Désuet) Abandonner le lieu où l’on est, en sortir.;(Transitif) (Marine) Mettre un bâtiment hors d’état de servir.;(Transitif) (Figuré) Déconcerter, troubler, priver quelqu’un de ses moyens.
40908;escompter;meertcosp;_ _ _ _ _ _ _ _ _;9;espérer;anticiper;se promettre;supputer;tabler sur;(Banque) Faire l’escompte.;(Banque) Se faire payer un effet de commerce d’avance.;(Figuré) Dépenser d’avance, rapidement, prématurément.
40910;peaufiner;ueaefrnpi;_ _ _ _ _ _ _ _ _;9;mettre au point;mettre la dernière main à;perler;affiner;fignoler;(Sens étymologique) Finir de préparer sa peau, de se maquiller, de se pomponner.;(Par extension) Finir avec une peau, nettoyer avec une peau de chamois.;Perfectionner.
40911;revérifier;iriérerevf;_ _ _ _ _ _ _ _ _ _;10;;;;;;Vérifier à nouveau.;;
40914;surchauffer;ecfruhrafus;_ _ _ _ _ _ _ _ _ _ _;11;déchaîner;ameuter;embraser;surexciter;chauffer;Chauffer à l’excès.;;
40917;ballonner;olrlnenba;_ _ _ _ _ _ _ _ _;9;boursoufler;bouffir;s'arrondir;distendre;enfler;(Transitif) Gonfler comme un ballon.;(Spécialement) (Médecine) Enfler par des gaz accumulés dans les intestins, en parlant de l’abdomen.;(Intransitif) Gonfler.
40920;confectionner;feroenocintnc;_ _ _ _ _ _ _ _ _ _ _ _ _;13;cuisiner;apprêter;élaborer;fabriquer;composer;Exécuter jusqu’à complet achèvement.;(En particulier) Fabriquer des pièces de vêtement, du linge, des chaussures qui ne sont pas faits sur mesure.;
40921;crocheter;tcroreehc;_ _ _ _ _ _ _ _ _;9;crocher;accrocher;ouvrir;forcer;;Ouvrir une porte, un meuble, etc., avec un crochet, au lieu de clef.;(Péjoratif) Forcer une serrure, une porte, comme le fait un voleur.;(Belgique) (Québec) Broder au crochet, garnir des dessins ou créer de la dentelle de fil à l'aide d'un crochet.
40922;discourir;suoiirdrc;_ _ _ _ _ _ _ _ _;9;pérorer;palabrer;haranguer;disserter;pontifier;Parler sur une matière avec quelque étendue.;;
40923;désaltérer;rseértédal;_ _ _ _ _ _ _ _ _ _;10;abreuver;rafraîchir;combler;soulager;apaiser;Apaiser la soif.;;
40926;généraliser;rengslrééia;_ _ _ _ _ _ _ _ _ _ _;11;vulgariser;populariser;démocratiser;universaliser;diffuser;Donner un caractère général.;Conclure du particulier au général;Etendre un fait à l’ensemble ou à beaucoup de personnes ou de choses.
40927;préméditer;rimépderté;_ _ _ _ _ _ _ _ _ _;10;concerter;méditer;mûrir;ourdir;tramer;Méditer quelque temps sur une chose, s’y décider, avant de l’exécuter.;;
40928;rationner;naeitnorr;_ _ _ _ _ _ _ _ _;9;contingenter;limiter;répartir;réduire;;Faire une répartition de vivres, de combustible, à bord d’un navire, dans une place assiégée, etc., afin d’en régler l’usage et de les faire durer plus longtemps.;(Pronominal) Limiter, réduire sa nourriture, soit par nécessité, soit par régime.;
40930;tambouriner;brmriotaune;_ _ _ _ _ _ _ _ _ _ _;11;boxer;tapoter;pianoter;taper;claironner;Jouer du tambour ou du tambourin.;Imiter le bruit du tambour.;
40932;éconduire;nroudeicé;_ _ _ _ _ _ _ _ _;9;rembarrer;mettre à la porte;reconduire;congédier;renvoyer;Congédier, soit brutalement, soit, le plus souvent, avec des formes, quelqu’un qui demande quelque chose.;(Par extension) Refuser à quelqu’un avec plus ou moins de ménagements ce qu’il demande.;
40935;concerter;cnreotcer;_ _ _ _ _ _ _ _ _;9;préméditer;calculer;combiner;mûrir;préparer;Préparer en vue d’une exécution avec une ou plusieurs personnes.;(Pronominal) (réciproque) S’entendre avec une ou plusieurs personnes en vue de l’exécution d’une affaire, d’une intrigue, etc.;
40937;enraciner;nrrneciea;_ _ _ _ _ _ _ _ _;9;ancrer;implanter;incruster;transplanter;consolider;Fixer au sol par les racines.;(Figuré) Fixer dans l’esprit ou dans le cœur.;Fixer des origines
40939;griffonner;ifneorngfr;_ _ _ _ _ _ _ _ _ _;10;gribouiller;crayonner;peinturlurer;annoter;rédiger;(Figuré) (Familier) Composer, rédiger avec précipitation et négligence.;Écrire en caractères si mal formés qu’il est presque impossible de lire.;
40943;prédestiner;tiénrpesrde;_ _ _ _ _ _ _ _ _ _ _;11;destiner;fixer d'avance;vouer;élire;réserver;(Religion) Vouer d’avance au salut ou à la damnation, selon la doctrine de la prédestination.;(Religion) Choisir de toute éternité, élire un personne ou une autre au salut, à la damnation éternelle, en parlant de Dieu.;(Par extension) Produire un destin qu’il semble qu’on ne pourrait éviter.
40947;commémorer;mmomcréroe;_ _ _ _ _ _ _ _ _ _;10;fêter;célébrer;rappeler;retracer;;Rappeler par une cérémonie, une plaque de commémoration ou un autre objet, le souvenir d’une personne ou d’un fait.;;
40950;enquiquiner;equnnqireiu;_ _ _ _ _ _ _ _ _ _ _;11;barber;embêter;raser;lasser;assommer;(Argot) (Désuet) Injurier.;(Familier) Importuner, embêter.;(Familier) Manifester son mépris ou son indifférence.
40951;finaliser;isaielrnf;_ _ _ _ _ _ _ _ _;9;mettre au point;aboutir;parachever;achever;finir;Assigner à quelque chose une finalité, un objectif.;Terminer une tâche administrative, un projet, etc.;(Informatique) (Moins courant) Préparer un objet pour sa destruction finale. Le terme est utilisé dans le contexte de langages de programmation à objets comme Java, C++, Ada, etc.
40956;philosopher;hhrsepilopo;_ _ _ _ _ _ _ _ _ _ _;11;ratiociner;raisonner;cogiter;disserter;spéculer;Traiter des matières de philosophie ou discourir sur les questions de philosophie.;Raisonner, discourir sur diverses matières de morale ou de physique.;(Par hyperbole) Raisonner, discourir sur diverses matières, en général.
40958;transiger;sgreirtna;_ _ _ _ _ _ _ _ _;9;pactiser;s'entendre;négocier;parlementer;couper la poire en deux;(Droit) Accommoder un différend, un procès en faisant de part et d’autre des concessions sur ce qui est en litige.;(Figuré) Se prêter à des accommodements.;Accommoder quelque chose.
40959;courroucer;crouucorer;_ _ _ _ _ _ _ _ _ _;10;mettre en colère;irriter;agacer;fâcher;turlupiner;Mettre en courroux.;(Figuré) Agiter.;
40961;dessouder;rddseusoe;_ _ _ _ _ _ _ _ _;9;buter;descendre;;;;Disjoindre ce qui était soudé.;(Familier) Assassiner.;
40963;effaroucher;rfechfroaue;_ _ _ _ _ _ _ _ _ _ _;11;apeurer;faire peur;alarmer;affoler;effrayer;Épouvanter, effrayer et faire fuir.;(Figuré) (Familier) Rendre une personne si peu traitable qu’elle s’éloigne de vous.;
40964;intercéder;iencdeétrr;_ _ _ _ _ _ _ _ _ _;10;parler pour;s'entremettre;intervenir;s'employer;prier;Prier, solliciter pour quelqu’un, afin de lui procurer quelque bien ou de le garantir de quelque mal.;;
40966;réécouter;ceuroréét;_ _ _ _ _ _ _ _ _;9;;;;;;Écouter à nouveau.;;
40967;syndiquer;qesrndyui;_ _ _ _ _ _ _ _ _;9;associer;organiser;;;;Réunir en un syndicat.;"(Pronominal) S’associer sous la forme syndicale ; adhérer à un syndicat.";
40970;bastonner;seabnnotr;_ _ _ _ _ _ _ _ _;9;bâtonner;triquer;fesser;matraquer;fustiger;Donner la bastonnade. [1];(Populaire) Frapper quelqu'un.;(Pronominal) (Populaire) Se battre, prendre part à une baston.
40972;métalliser;lirtaémsel;_ _ _ _ _ _ _ _ _ _;10;argenter;cuivrer;étamer;nickeler;chromer;(Chimie) Faire passer à l’état de métal un oxyde, un sulfure ou tout autre composé à base métallique.;Donner un aspect métallique.;
40973;repeupler;epprerleu;_ _ _ _ _ _ _ _ _;9;munir;approvisionner;réassortir;pourvoir;nantir;Peupler de nouveau un pays qui avait été dépeuplé.;;
