Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
2441;centime;einmetc;_ _ _ _ _ _ _;7;liard;obole;radis;sou;maravédis;(Système monétaire) La centième partie du franc.;(Système monétaire européen) La centième partie d’un euro.;(Par extension) Pièce de valeur faciale de un centime.
2447;carotte;orcetta;_ _ _ _ _ _ _;7;duperie;escroquerie;leurre;tromperie;carottage;(Botanique) (Agriculture) Plante potagère de la famille des apiacées (ombellifères), à racine pivotante et charnue, douce, sucrée, comestible.;(Cuisine) La racine de la plante même, utilisée comme aliment.;Tour par lequel on subtilise de l’argent à quelqu’un.
2448;minimum;mimnium;_ _ _ _ _ _ _;7;minimal;moins;limite;;;Relatif à la limite inférieure d’une chose.;Plus petite somme dans l’ordre des sommes dont il s’agit.;Se dit encore de la moindre des peines que la loi inflige pour un crime, pour un délit.
2450;dépense;enepséd;_ _ _ _ _ _ _;7;dépens;débours;contribution;cotisation;écot;L’argent qu’on emploie à quelque chose que ce puisse être.;(Par extension) Compte où se trouve porté ce qui a été dépensé ou déboursé.;(Figuré) Emploi que l’on fait de son temps, de ses efforts pour obtenir quelque chose.
2451;melon;elmno;_ _ _ _ _;5;pastèque;imbécile;;;;(Botanique) Plante rampante de la famille des Cucurbitacées.;(Botanique) Fruit de cette plante, à la peau épaisse jaune ou verte, à la chair orange, jaune parfois verte selon les espèces et juteuse.;(Par ellipse) Chapeau melon.
2452;éponge;pégnoe;_ _ _ _ _ _;6;spongiaire;biberon;ivrogne;châssis;tumeur;Groupe d’animaux invertébrés marins dont le corps fournit une substance poreuse qui a la propriété d’absorber les liquides.;(Par métonymie);(Forge) Extrémité arrondie de chaque branche d’un fer à cheval.
2453;étang;aéngt;_ _ _ _ _;5;lac;mare;lagon;pièce d'eau;chott;Grand amas d’eau retenu par une chaussée naturelle ou artificielle.;;
2454;baie;beai;_ _ _ _;4;golfe;fenêtre;anse;calanque;échancrure;(Botanique) Fruit charnu, indéhiscent, sans noyau mais contenant des pépins ou des graines.;(Populaire) (Souvent au pluriel) Petits fruits des arbrisseaux, généralement sauvages, qui bordent les chemins de campagne [1&2].;Petit golfe marin à l’entrée resserrée et servant d’abri aux bateaux [1&2].
2455;crapule;rupalec;_ _ _ _ _ _ _;7;gredin;fripouille;canaille;malfaiteur;vaurien;(Archaïsme), (XVIIIe siècle) Ivrognerie;Débauche habituelle et grossière.;(Par extension) Personne abjecte qui a des sentiments bas et est capable des pires actions.
2459;minet;inetm;_ _ _ _ _;5;minon;chat;mimi;mistigri;minou;(Familier) (Affectueux) Surnom donné à un chat.;(Familier) Nom donné à un jeune garçon dont le comportement aguicheur est semblable à celui d’un chat.;(Rare) Jeune chat[1].
2460;mortel;olrtem;_ _ _ _ _ _;6;funeste;fatal;sinistre;assommant;ennuyeux;Qui est sujet à la mort, par opposition à l’immortalité ou à la divinité.;"Qui cause la mort ; qui paraît devoir la causer.";(Par hyperbole) Qualifie un ennemi que l’on hait profondément, et le sentiment de haine que l’on a à son encontre.
2461;relais;iresal;_ _ _ _ _ _;6;auberge;étape;mansion;réémetteur;retransmetteur;(Transport) Un ou plusieurs chevaux frais, soit de selle, soit d’attelage, que l’on poste en quelque endroit pour remplacer ou renforcer ceux qui ont servi jusque-là.;(Chasse) Se dit aussi en parlant des chiens qu’on poste, soit à la chasse du cerf, soit à celle du sanglier,.;(Vieilli) (Transport) (Chasse) Lieu où l’on met les relais, soit pour les voyages soit pour la chasse, où on changeait et entretenait sa monture.
2462;ardeur;arerud;_ _ _ _ _ _;6;chaleur;bouillonnement;exaltation;fougue;feu;Chaleur extrême.;Chaleur âcre et piquante qu’on éprouve dans de certaines maladies.;(Figuré) Chaleur, vivacité avec laquelle on se porte à quelque chose.
2464;berceau;ercaebu;_ _ _ _ _ _ _;7;tonnelle;balbutiement;gloriette;début;barcelonnette;Petit lit où l’on couche les nourrissons et qui est disposé pour que l’on puisse le balancer, le bercer, aisément.;(Figuré) Lieu du commencement, du début.;Prime enfance.
2466;déchet;dtheéc;_ _ _ _ _ _;6;rebut;résidu;débris;rognure;raclure;Ce qui tombe, déchoit.;(Par extension) Diminution, perte qu’une chose éprouve dans sa substance, dans sa valeur ou dans l’une de ses qualités.;(Vieilli) Déchéance, préjudice.
