Mot,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20
a,ah,as,ha,à
a capella,a cappella
a cappella,a capella
a fortiori,à fortiori
a giorno,à giorno
a jeun,à jeun
a l'instar,à l'instar
a posteriori,à posteriori
a priori,à priori
aa,haha
abaissai,abaissaient,abaissait
abaissaient,abaissai,abaissait
abaissait,abaissai,abaissaient
