Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
1954;préféré;érpéérf;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;chouchou;favori;attitré;chéri;bien-aimé;"Qui est choisi avant tous les autres ; qui l’aime le plus.";Personne préférée.;Participe passé masculin singulier de préférer.
1956;hall;hlal;˽ ˽ ˽ ˽;4;antichambre;vestibule;porche;salle;accueil;Grande salle.;Gris.;Entendre.
1957;mélange;nmlgaeé;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;amalgame;enchevêtrement;confusion;assemblage;chaos;Action de mélanger ou résultat de cette action.;Personnes réunies confusément.;(Figuré) Union de qualités de conditions, d’affaires différentes.
1958;poignard;irdnpoga;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;fer;couteau;épée;dague;lame;(Armement) Arme à lame courte et pointue.;(Pêche) (Régionalisme) (Vieilli) Brochet.;(Couture) Pièce de tissus taillée en pointe, que l'on met à un vêtement pour l'élargir.
1959;récit;crtié;˽ ˽ ˽ ˽ ˽;5;narration;roman;conte;fable;relation;Relation, narration, orale ou écrite, d’un événement.;(Art dramatique) Narration détaillée d’un événement important qui vient de se passer et qui n’est pas représenté en action.;(Musique) Un des claviers de l’orgue, qui comprend des jeux plus spécialement destinés à être joués en solo.
1960;maillot;tmolila;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;chandail;caleçon;bikini;deux-pièces;monokini;(Vieilli) (Habillement) Lange dont on enveloppe un enfant au berceau.;(Habillement) Vêtement souple qui couvre le corps en totalité ou jusqu'à la taille et qui se porte à même la peau.;(Habillement) Vêtement de bain.
1961;cafard;raafdc;˽ ˽ ˽  ˽ ˽ ˽;6;spleen;cagot;mélancolie;dénonciateur;vague à l'âme;Qui est faux dévot, hypocrite, bigot.;(Familier) Hypocrite, faux dévot.;(Par extension) Personne qui dénonce hypocritement les autres pour se faire bien voir.
1962;mèche;hmèec;˽ ˽ ˽ ˽ ˽;5;accroche-coeur;épi;étoupille;guiche;rouflaquette;Assemblage de fils de coton, de chanvre, etc., qu’on utilise pour l’éclairage dans les lampes à huile, à pétrole, à essence, etc.;(En particulier) (Par ellipse) Assemblage de fils tordus que l’on enduit de suif pour faire des chandelles ou que l’on recouvre de cire ou de stéarine pour faire des cierges ou des bougies.;(En particulier) Assemblage de fils de coton tordus et imprégnés de benzine ou d’essence qu’on enflamme au moyen d’une étincelle produite par une pierre spéciale.
1963;nichon;hninoc;˽ ˽ ˽  ˽ ˽ ˽;6;néné;nibard;doudoune;poitrine;sein;(Populaire) Sein d’une femme.;;
1964;euro;ruoe;˽ ˽ ˽ ˽;4;;;;;;Monnaie scripturale depuis 1999 et fiduciaire à partir de 2002, ayant cours dans l’Eurozone, aussi adoptée par d’autres États de l’Europe, mais non membres de l’Union (la Principauté d’Andorre, Monaco, le Vatican, le Monténégro et le Kosovo).;Pièce de cette monnaie.;
1965;bourreau;oeubrrau;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;tortionnaire;exécuteur;tueur;béquilleur;bourreleur;Exécuteur des arrêts rendus par les cours criminelles, chargé de la peine capitale. Préposé à la guillotine, avant la suppression de la peine de mort, en France.;(Figuré) Homme cruel, inhumain.;(Figuré) Personne qui ne ménage pas les autres ou soi-même.
1966;récolte;tcolrée;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;cueillette;collecte;ramassage;produit;fenaison;Action de recueillir les produits de la terre.;(Par métonymie) Les produits ainsi recueillis.;(Figuré) Choses qu’on reçoit ou qu’on rassemble.
1968;orbite;irtboe;˽ ˽ ˽  ˽ ˽ ˽;6;circonférence;mouvance;sphère;trajectoire;orbe;(Anatomie) Cavité osseuse dans laquelle l’œil est placé.;(Astronomie) Trajectoire elliptique ou circulaire décrite par un astre autour d’un autre ou du barycentre de plusieurs astres, sous l'effet de la gravitation.;(Figuré) Influence.
1970;armoire;earmior;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;penderie;bonnetière;bahut;placard;buffet;(Mobilier) Meuble haut fermé par une ou deux portes et destiné au rangement du linge, des vêtements ou d’autres objets.;;
1971;affiche;fifaceh;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;écriteau;prospectus;annonce;pancarte;proclamation;Feuille souple ou rigide affichant un message, ou une image, imprimé ou écrit que l’on applique contre les murs pour donner connaissance au public de quelque chose.;Ensemble des artistes ou spectacles programmés dans un lieu ou lors d’un événement culturel.;Première personne du singulier de l’indicatif présent du verbe afficher.
1972;porno;onpro;˽ ˽ ˽ ˽ ˽;5;hard core;pornographique;pornographie;cochon;bas;(Familier) Pornographique, relatif à la pornographie.;"(Familier) Film pornographique ; film X.";(Au singulier) (Familier) Domaine des films pornographiques.
1973;remise;eiserm;˽ ˽ ˽  ˽ ˽ ˽;6;ristourne;sursis;atermoiement;hangar;allègement;Action de remettre en un lieu, dans un état, dans une situation... (le mot est toujours accompagné d'un complément);Action de remettre à quelqu’un, de rendre, de livrer.;(Commerce) Grâce que l’on fait à un débiteur, en lui remettant une partie de ce qu’il doit.
1974;soulier;ousreli;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;chaussure;godillot;brodequin;socque;chausson;Chaussure qui couvre tout ou seulement une partie du pied.;(Canada) Chaussure, ce qu’on met au pied pour se chausser.;(Héraldique) Meuble représentant la chaussure du même nom dans les armoiries. Il est généralement représenté de profil, la pointe à dextre, le talon à senestre. À rapprocher de chaussure, houseau, jambière, poulaine et sabot.
1975;achat;aathc;˽ ˽ ˽ ˽ ˽;5;emplette;acquisition;soudoiement;conquêt;subornation;Acquisition faite à prix d’argent.;Chose achetée.;
1976;entrepôt;eneôtprt;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;garage;resserre;hangar;magasin;chantier;(Logistique) Lieu où l’on met des marchandises en dépôt.;(En particulier) Lieu où les marchandises peuvent rester déposées jusqu’à ce qu’on les exporte ou qu’on en acquitte les droits.;Magasin où l’on vend quelque marchandise pour le compte de l’état.
1978;mars;arsm;˽ ˽ ˽ ˽;4;;;;;;Troisième mois de l’année du calendrier grégorien, qui compte 31 jours.;(Poétique) La guerre.;(Agriculture) (Au pluriel) (Vieilli) Nom collectif dans lequel on rangeait toutes les cultures secondaires semées au printemps, comme l'avoine, l'orge, la vesce, etc.
1979;señor;ñoers;˽ ˽ ˽ ˽ ˽;5;;;;;;Monsieur.;Vous, tu, toi.;
1982;culot;otlcu;˽ ˽ ˽ ˽ ˽;5;toupet;aplomb;audace;effronterie;impudence;Ce qui est au bas, ce qui reste au fond d’une chose.;La matière ayant sédimenté lors d’une centrifugation.;Partie métallique qui reste au fond d’un creuset après la fusion et qui s’est séparée des scories.
