"","lemme","freqlemfilms2","nb_lettres","anagramme"
"61","triste",103.44,6,"testri"
"62","rouge",102.93,5,"euogr"
"63","dangereux",101.84,9,"arxeguned"
"64","pire",98.83,4,"prei"
"65","fort",95.28,4,"rfot"
"66","mort",89.29,4,"romt"
"67","doux",89.14,4,"uxdo"
"68","magnifique",88.22,10,"ifnumgeiaq"
"69","terrible",87.66,8,"eerbritl"
"70","exact",86.8,5,"cxate"
"71","étrange",85.61,7,"éngrtae"
"72","chaud",84.16,5,"ducah"
"73","spécial",83.73,7,"sailpéc"
"74","sympa",83.39,5,"spmay"
"75","compris",82.84,7,"ricmosp"
"76","merveilleux",79.25,11,"vxrimeeuell"
"77","fier",79.13,4,"efri"
"78","chéri",78.54,5,"iérhc"
"79","droit",77.74,5,"rtodi"
"80","capable",76.85,7,"elapacb"
"81","excellent",76.43,9,"eeextlcnl"
"82","entier",76.01,6,"irntee"
"83","incroyable",74.67,10,"bacoynilre"
"84","idiot",74.06,5,"otiid"
"85","riche",73.85,5,"cirhe"
"86","ancien",73.16,6,"nnaiec"
"87","inutile",72.71,7,"tilienu"
"88","stupide",71.75,7,"siedput"
"89","bleu",70.61,4,"lube"
"90","mignon",69.71,6,"iogmnn"
"91","intéressant",69.17,11,"rnieésstatn"
"92","haut",68.05,4,"tuah"
"93","horrible",67.22,8,"oiblrher"
"94","calme",66.57,5,"eclam"
"95","américain",63.92,9,"mcainaéri"
"96","cool",63.63,4,"lcoo"
"97","secret",62.68,6,"ecetrs"
"98","censé",62.52,5,"nceés"
"99","ridicule",61.57,8,"eiiulcrd"
"100","personnel",61.02,9,"reesnnlop"
"101","vide",60.33,4,"evdi"
"102","neuf",59.45,4,"uenf"
"103","arrivé",59.24,6,"aéirrv"
"104","parfait",58.77,7,"atifarp"
"105","dingue",58.48,6,"ndieug"
"106","intelligent",57.51,11,"nttilieegnl"
"107","sacré",56.88,5,"rscaé"
"108","bête",56.55,4,"êtbe"
"109","proche",55.34,6,"rceohp"
"110","enchanté",55,8,"nahntéce"
"111","charmant",54.51,8,"ramathnc"
"112","formidable",54.23,10,"flberimdao"
"113","honnête",53.89,7,"thoênen"
"114","présent",53.7,7,"érpnste"
"115","superbe",53.42,7,"reuspbe"
"116","méchant",53.37,7,"hmtnaéc"
"117","vert",52.59,4,"trve"
"118","second",52.5,6,"dnseoc"
"119","nécessaire",52,10,"eéesarsinc"
"120","entendu",51.52,7,"eduennt"
"121","coupable",50.84,8,"uocpblea"
"122","moyen",50.69,5,"moeyn"
"123","nerveux",50.4,7,"enxruev"
"124","moindre",50.12,7,"oedimrn"
"125","énorme",49.27,6,"énmoer"
"126","rapide",48.73,6,"rdeaip"
"127","enceinte",48.6,8,"nectenie"
"128","frais",46.43,5,"afirs"
"129","sexuel",46.15,6,"useexl"
"130","responsable",46.01,11,"pbnrelseosa"
"131","gauche",45.88,6,"hceaug"
"132","unique",45.43,6,"ueuniq"
"133","utile",44.99,5,"eiult"
"134","public",44.81,6,"bpiluc"
"135","jaloux",44.67,6,"ajxuol"
"136","nombreux",44.64,8,"beunomrx"
"137","deuxième",43.97,8,"ideeèxmu"
"138","militaire",43.73,9,"teiiarilm"
"139","français",43.06,8,"saifrçan"
"140","profond",42.41,7,"dnorfop"
"141","malin",41.49,5,"amiln"
"142","allemand",41.32,8,"almnadel"
"143","général",41.31,7,"rgéénla"
"144","court",41.15,5,"utorc"
"145","agréable",40.24,8,"aalreégb"
"146","puissant",39.99,8,"ptsansiu"
"147","ouvert",39.97,6,"vrueto"
"148","joyeux",39.89,6,"joxuey"
"149","naturel",39.78,7,"ralnute"
"150","innocent",39.31,8,"enonintc"
"151","sage",39.09,4,"asge"
"152","faible",38.78,6,"lbaief"
"153","réel",38.7,4,"erél"
