,lemme,phon,cgram,nblettres,freqlemfilms2,freqlemlivres
0,être,EtR,VER,4,32236.5,15085.47
10,avoir,avwaR,VER,5,13572.4,6426.49
15,aller,ale,VER,5,9992.77,2854.93
17,faire,fER,VER,5,8813.48,5328.99
26,dire,diR,VER,4,5946.15,4832.5
28,pouvoir,puvwaR,VER,7,5524.47,2659.8
31,vouloir,vulwaR,VER,7,5249.3,1640.14
38,savoir,savwaR,VER,6,4516.71,2003.58
43,voir,vwaR,VER,4,4119.43,2401.76
56,devoir,d°vwaR,VER,6,3232.57,1318.18
62,venir,v°niR,VER,5,2763.82,1514.53
76,suivre,s8ivR,VER,6,2090.54,949.12
77,parler,paRle,VER,6,1970.55,1086.01
78,prendre,pR@dR,VER,7,1913.83,1466.42
87,croire,kRwaR,VER,6,1711.99,947.23
88,aimer,eme,VER,5,1655.07,795.61
89,falloir,falwaR,VER,7,1653.76,1250.41
94,passer,pase,VER,6,1495.49,1165.27
95,penser,p@se,VER,6,1485.47,869.8
100,attendre,at@dR,VER,8,1351.46,706.69
102,trouver,tRuve,VER,7,1335.49,972.5
103,laisser,lese,VER,7,1334.1,851.55
106,arriver,aRive,VER,7,1252.42,723.04
109,donner,done,VER,6,1209.67,896.01
110,regarder,R°gaRde,VER,8,1197.29,997.91
112,appeler,ap°le,VER,7,1165.48,465.34
115,partir,paRtiR,VER,6,1111.97,485.68
128,mettre,mEtR,VER,6,1004.83,1083.72
129,rester,REste,VER,6,1003.56,793.78
131,arrêter,aRete,VER,7,993.79,462.5
133,connaître,konEtR,VER,9,961.03,629.26
136,tuer,t8e,VER,4,928.06,171.15
140,mourir,muRiR,VER,6,916.4,391.08
141,demander,d°m@de,VER,8,909.77,984.46
149,comprendre,k§pR@dR,VER,10,893.51,614.8
152,sortir,sORtiR,VER,6,884.26,627.57
168,entendre,@t@dR,VER,8,728.67,719.12
170,chercher,SERSe,VER,8,712.46,448.99
173,aider,ede,VER,5,688.71,158.65
177,essayer,eseje,VER,7,670.4,296.69
186,revenir,R°v°niR,VER,7,618.62,490.54
188,plaire,plER,VER,6,607.21,139.8
199,jouer,Zwe,VER,5,570.12,337.23
201,finir,finiR,VER,5,557.61,417.97
205,perdre,pERdR,VER,6,546.08,377.36
207,sentir,s@tiR,VER,6,535.4,718.78
209,rentrer,R@tRe,VER,7,532.51,279.93
216,vivre,vivR,VER,5,510.19,460.34
217,rendre,R@dR,VER,6,508.81,468.11
218,tenir,t°niR,VER,5,504.69,741.22
223,oublier,ublije,VER,7,486.96,286.96
227,travailler,tRavaje,VER,10,479.49,202.7
232,écouter,ekute,VER,7,470.93,314.05
234,manger,m@Ze,VER,6,467.82,280.61
238,entrer,@tRe,VER,6,450.11,398.38
239,devenir,d°v°niR,VER,7,438.57,533.51
241,commencer,kom@se,VER,9,436.83,421.89
247,payer,peje,VER,5,416.68,150.2
248,tirer,tiRe,VER,5,415.14,383.24
249,ouvrir,uvRiR,VER,6,413.32,492.5
252,changer,S@Ze,VER,7,411.99,246.49
254,tomber,t§be,VER,6,407.82,441.42
257,foutre,futR,VER,6,400.67,172.3
258,excuser,Ekskyze,VER,7,399.19,61.82
260,dormir,dORmiR,VER,6,392.09,259.05
274,occuper,okype,VER,7,375.14,219.8
276,marcher,maRSe,VER,7,364.37,325.61
279,envoyer,@vwaje,VER,7,360.16,177.64
282,apprendre,apR@dR,VER,9,348.47,286.69
284,boire,bwaR,VER,5,339.05,274.32
285,garder,gaRde,VER,6,338.4,257.5
290,montrer,m§tRe,VER,7,327.33,276.55
293,asseoir,aswaR,VER,7,322.71,395.27
295,porter,poRte,VER,6,319.98,474.93
298,souvenir,suv°niR,VER,8,315.05,215.41
301,prier,pRije,VER,5,313.12,105.74
304,servir,sERviR,VER,6,309.81,286.22
307,écrire,ekRiR,VER,6,305.92,341.82
312,espérer,EspeRe,VER,7,301.08,134.93
313,désoler,dezole,VER,7,297.27,14.46
317,retrouver,R°tRuve,VER,9,295.17,416.22
320,gagner,gaNe,VER,6,294.44,180.88
322,acheter,aS°te,VER,7,290.7,148.38
331,rappeler,Rap°le,VER,8,281.75,202.23
332,lire,liR,VER,4,281.09,324.8
338,monter,m§te,VER,6,277.32,404.59
340,quitter,kite,VER,7,276.23,318.72
344,emmener,@m°ne,VER,7,272.71,105.47
345,toucher,tuSe,VER,7,270.27,190.27
346,continuer,k§tin8e,VER,9,269.95,282.77
352,importer,5pORte,VER,8,259.37,173.11
356,manquer,m@ke,VER,7,253.94,197.64
357,raconter,Rak§te,VER,8,253.84,261.89
362,répondre,Rep§dR,VER,8,251.57,466.76
370,sauver,sove,VER,6,246.54,99.05
372,retourner,R°tuRne,VER,9,245.35,290.88
374,rencontrer,R@k§tRe,VER,10,241.04,188.51
376,voler,vole,VER,5,238.82,88.65
377,fermer,fERme,VER,6,238.65,197.16
379,valoir,valwaR,VER,6,236.07,175.74
380,descendre,des@dR,VER,9,235.97,301.62
384,suffire,syfiR,VER,7,232.08,159.39
388,sembler,s@ble,VER,7,229.25,572.84
389,compter,k§te,VER,7,227.78,203.72
403,marier,maRje,VER,6,220.51,65.07
408,poser,poze,VER,5,217.2,409.05
415,inquiéter,5kjete,VER,9,212.16,71.01
416,bouger,buZe,VER,6,211.9,156.76
419,apporter,apORte,VER,8,209.91,159.32
425,décider,deside,VER,7,207.76,214.19
429,vendre,v@dR,VER,6,206.95,92.64
433,tourner,tuRne,VER,7,204.15,377.09
434,cacher,kaSe,VER,6,204.13,181.89
440,expliquer,Eksplike,VER,9,200.93,233.92
441,battre,batR,VER,6,200.35,182.36
444,agir,aZiR,VER,4,195.94,219.73
445,imaginer,imaZine,VER,8,194.29,241.15
448,adorer,adoRe,VER,6,193.67,44.59
450,recevoir,R°s°vwaR,VER,8,192.73,224.46
452,jeter,Z°te,VER,5,192.18,336.82
453,pleurer,pl2Re,VER,7,191.64,163.31
458,amener,am°ne,VER,6,190.32,93.92
464,promettre,pRomEtR,VER,9,185.26,101.42
465,mentir,m@tiR,VER,6,185.16,52.03
470,utiliser,ytilize,VER,8,182.44,43.51
472,coucher,kuSe,VER,7,181.96,196.22
475,préférer,pRefeRe,VER,8,179.44,133.38
478,offrir,ofRiR,VER,6,177.8,213.99
481,réveiller,Reveje,VER,9,175.94,125.41
486,préparer,pRepaRe,VER,8,174.33,154.12
488,permettre,pERmEtR,VER,9,172.86,184.19
490,ramener,Ram°ne,VER,7,172.7,109.26
491,enlever,@l°ve,VER,7,172.47,78.78
494,lâcher,laSe,VER,6,171.08,89.19
495,choisir,SwaziR,VER,7,170.48,133.92
497,conduire,k§d8iR,VER,8,169.64,144.66
499,calmer,kalme,VER,6,168.54,45.07
504,chanter,S@te,VER,7,166.34,125.81
505,disparaître,dispaREtR,VER,11,166.13,183.31
506,lever,l°ve,VER,5,165.98,440.74
507,présenter,pRez@te,VER,9,165.88,135.14
508,accepter,aksEpte,VER,8,165.84,144.66
514,revoir,R°vwaR,VER,6,162.84,139.46
519,casser,kase,VER,6,160.61,92.7
521,frapper,fRape,VER,7,160.04,168.31
530,ignorer,iNoRe,VER,7,156.55,108.45
533,couper,kupe,VER,6,155.82,140.88
535,taire,tER,VER,5,154.46,139.8
548,tromper,tR§pe,VER,7,149.09,97.3
550,ressembler,R°s@ble,VER,10,148.62,157.5
551,jurer,ZyRe,VER,5,148.41,81.76
556,courir,kuRiR,VER,6,146.5,263.38
560,remettre,R°mEtR,VER,8,144.99,202.5
566,refuser,R°fyze,VER,7,143.96,152.77
571,terminer,tERmine,VER,8,142.38,100.0
576,amuser,amyze,VER,6,141.41,120.95
579,intéresser,5teRese,VER,10,140.8,117.36
580,reconnaître,R°konEtR,VER,11,140.73,229.19
581,rire,RiR,VER,4,140.24,320.54
584,pardonner,paRdone,VER,9,139.46,44.59
586,embrasser,@bRase,VER,9,138.97,137.5
589,danser,d@se,VER,6,137.36,92.57
591,exister,Egziste,VER,7,136.24,148.18
604,réussir,ReysiR,VER,7,131.88,122.16
607,protéger,pRoteZe,VER,8,130.71,72.23
611,prévenir,pREv°niR,VER,8,129.28,73.72
618,habiter,abite,VER,7,128.3,112.5
625,déranger,deR@Ze,VER,8,126.95,43.99
626,reprendre,R°pR@dR,VER,9,126.92,340.14
630,détruire,detR8iR,VER,8,126.08,52.36
632,pousser,puse,VER,7,125.61,288.92
643,découvrir,dekuvRiR,VER,9,124.2,198.18
647,sauter,sote,VER,6,123.03,134.59
648,rêver,Reve,VER,5,122.95,128.18
649,détester,detEste,VER,8,122.87,62.64
653,paraître,paREtR,VER,8,122.14,448.11
655,empêcher,@peSe,VER,8,121.85,171.28
656,maintenir,m5t°niR,VER,9,121.32,98.51
660,supposer,sypoze,VER,8,120.31,62.5
662,épouser,epuze,VER,7,118.78,59.26
670,approcher,apRoSe,VER,9,117.65,196.15
672,craindre,kR5dR,VER,8,117.44,108.31
675,crier,kRije,VER,5,116.94,239.73
677,inviter,5vite,VER,7,116.83,82.3
679,réfléchir,RefleSiR,VER,9,116.71,89.05
681,arranger,aR@Ze,VER,8,116.14,75.81
682,naître,nEtR,VER,6,116.11,119.32
691,souffrir,sufRiR,VER,8,113.83,119.26
693,remercier,R°mERsje,VER,9,113.7,54.46
696,baiser,beze,VER,6,112.82,44.12
698,attraper,atRape,VER,8,112.52,55.34
701,dépêcher,depeSe,VER,8,111.44,22.84
705,abandonner,ab@done,VER,10,110.87,128.45
706,vérifier,veRifje,VER,8,110.87,40.27
710,brûler,bRyle,VER,6,110.28,104.73
723,assurer,asyRe,VER,7,107.71,126.55
739,traiter,tRete,VER,7,104.04,69.93
741,blesser,blese,VER,7,103.74,43.31
750,dégager,degaZe,VER,7,102.47,58.04
756,filer,file,VER,5,100.97,88.51
758,risquer,Riske,VER,7,100.4,99.32
762,mener,m°ne,VER,5,99.86,137.7
764,attaquer,atake,VER,8,99.63,70.41
770,fumer,fyme,VER,5,98.49,84.39
771,répéter,Repete,VER,7,98.31,200.14
773,signer,siNe,VER,6,98.19,55.81
774,ficher,fiSe,VER,6,97.84,29.32
775,mériter,meRite,VER,7,97.06,54.53
777,rejoindre,R°Zw5dR,VER,9,96.98,134.8
778,discuter,diskyte,VER,8,96.42,58.65
781,avancer,av@se,VER,7,95.62,195.0
784,reposer,R°poze,VER,7,95.2,83.92
785,échapper,eSape,VER,8,95.07,132.64
792,charger,SaRZe,VER,7,93.02,122.16
799,obliger,obliZe,VER,7,91.63,107.57
803,accompagner,ak§paNe,VER,11,90.56,124.46
805,oser,oze,VER,4,90.2,155.54
813,regretter,R°gRete,VER,9,89.11,75.88
817,prouver,pRuve,VER,7,88.83,52.43
822,couvrir,kuvRiR,VER,7,88.29,133.51
824,obtenir,Opt°niR,VER,7,88.08,80.95
829,éviter,evite,VER,6,87.47,110.47
832,plaisanter,plEz@te,VER,10,87.13,27.43
836,virer,viRe,VER,5,86.3,37.84
837,supporter,sypoRte,VER,9,86.04,81.22
838,régler,Regle,VER,6,85.81,54.19
842,souhaiter,swete,VER,9,85.59,82.16
845,créer,kRee,VER,5,85.17,54.8
848,surveiller,syRveje,VER,10,84.82,54.39
850,recommencer,R°kom@se,VER,11,84.69,83.31
859,coûter,kute,VER,6,83.15,48.11
868,parier,paRje,VER,6,81.96,15.61
879,appartenir,apaRt°niR,VER,10,80.57,92.36
880,remarquer,R°maRke,VER,9,80.56,142.16
882,rater,Rate,VER,5,80.45,22.7
883,retirer,R°tiRe,VER,7,80.26,98.31
886,tenter,t@te,VER,6,79.75,126.96
891,dîner,dine,VER,5,79.3,59.66
894,partager,paRtaZe,VER,8,79.08,78.99
897,ressentir,R°s@tiR,VER,9,78.78,70.14
900,défendre,def@dR,VER,8,78.55,91.08
905,fatiguer,fatige,VER,8,78.25,49.05
907,prévoir,pRevwaR,VER,7,78.22,77.09
911,douter,dute,VER,6,77.77,88.11
917,apprécier,apResje,VER,9,77.21,44.12
921,fuir,f8iR,VER,4,76.82,76.42
929,bosser,bose,VER,6,76.28,10.95
930,respirer,REspiRe,VER,8,76.08,102.43
932,récupérer,RekypeRe,VER,9,75.92,31.82
934,libérer,libeRe,VER,7,75.77,48.51
938,lancer,l@se,VER,6,75.22,165.07
947,durer,dyRe,VER,5,74.39,101.62
949,laver,lave,VER,5,74.35,69.53
958,sonner,sone,VER,6,73.67,92.57
966,deviner,d°vine,VER,7,72.77,112.3
968,ravir,RaviR,VER,5,72.67,27.91
975,traverser,tRavERse,VER,9,72.26,200.81
984,retenir,R°t°niR,VER,7,71.58,143.92
986,remonter,R°m§te,VER,8,71.33,160.14
987,réaliser,Realize,VER,8,71.27,35.95
989,moquer,moke,VER,6,71.13,50.34
990,étudier,etydje,VER,7,70.9,30.41
991,installer,5stale,VER,9,70.76,162.23
996,proposer,pRopoze,VER,8,70.02,119.66
1011,emporter,@pORte,VER,8,69.02,121.28
1019,engager,@gaZe,VER,7,68.22,94.59
1021,cesser,sese,VER,6,68.11,177.77
1026,signifier,siNifje,VER,9,67.72,47.23
1028,réparer,RepaRe,VER,7,67.7,25.14
1030,construire,k§stR8iR,VER,10,67.59,52.64
1033,chier,Sje,VER,5,67.53,22.64
1037,profiter,pRofite,VER,8,67.2,91.22
1039,pleuvoir,pl2vwaR,VER,8,67.17,47.09
1050,séparer,sepaRe,VER,7,66.22,109.8
1056,désirer,deziRe,VER,7,65.63,61.89
1060,traîner,tRene,VER,7,65.49,122.77
1061,respecter,REspEkte,VER,9,65.41,33.58
1064,enfuir,@f8iR,VER,6,65.13,37.57
1065,diriger,diRiZe,VER,7,65.1,95.68
1066,crever,kR°ve,VER,6,64.95,81.55
1068,poursuivre,puRs8ivR,VER,10,64.83,106.42
1074,forcer,fORse,VER,6,64.64,75.41
1082,grandir,gR@diR,VER,7,63.99,46.69
1086,interdire,5tERdiR,VER,9,63.72,54.39
1087,baisser,bese,VER,7,63.69,115.27
1088,enterrer,@teRe,VER,8,63.68,28.58
1089,causer,koze,VER,6,63.66,69.93
1091,survivre,syRvivR,VER,8,63.62,27.77
1094,commander,kom@de,VER,9,63.49,80.34
1105,ennuyer,@n8ije,VER,7,62.48,59.12
1109,prêter,pRete,VER,6,62.0,87.09
1111,nettoyer,netwaje,VER,8,61.95,28.11
1114,atteindre,at5dR,VER,9,61.83,126.76
1115,rouler,Rule,VER,6,61.82,163.45
1116,débarrasser,debaRase,VER,11,61.77,48.92
