,lemme,phon,cgram,nblettres,freqlemfilms2,freqlemlivres
59,tout,tu,ADJ,4,2948.75,3171.35
92,quoi,kwa,ADJ,4,1558.22,210.88
93,bon,b§,ADJ,3,1554.44,789.66
116,petit,p°ti,ADJ,5,1106.8,1541.96
134,sûr,syR,ADJ,3,943.56,412.97
150,seul,s9l,ADJ,4,891.45,915.27
160,vrai,vRE,ADJ,4,807.03,430.07
161,autre,otR,ADJ,5,786.09,870.14
176,beau,bo,ADJ,4,671.86,620.07
179,juste,Zyst,ADJ,5,656.86,153.45
183,grand,gR@,ADJ,5,638.72,1244.66
243,dernier,dERnje,ADJ,7,431.08,403.11
256,même,mEm,ADJ,4,402.93,804.8
272,premier,pR2mje,ADJ,7,376.98,672.57
294,fou,fu,ADJ,3,321.31,164.32
299,prêt,pRE,ADJ,4,314.64,121.28
314,jeune,Z9n,ADJ,5,297.01,569.19
330,vieux,vj2,ADJ,5,282.2,512.91
339,désolé,dezole,ADJ,6,276.66,12.43
347,gros,gRo,ADJ,4,266.95,353.45
360,mauvais,movE,ADJ,7,252.69,200.61
368,heureux,2R2,ADJ,7,248.45,190.0
381,ok,oke,ADJ,2,234.89,1.15
387,important,5pORt@,ADJ,9,229.36,86.76
391,joli,Zoli,ADJ,4,226.45,120.0
402,meilleur,mEj9R,ADJ,8,221.17,86.82
420,nouveau,nuvo,ADJ,7,209.45,185.61
423,plein,pl5,ADJ,5,208.75,370.41
431,cher,SER,ADJ,4,205.75,133.65
439,possible,posibl,ADJ,8,201.41,211.96
451,gentil,Z@ti,ADJ,6,192.64,64.86
456,nouvelle,nuvEl,ADJ,8,191.15,172.5
461,dur,dyR,ADJ,3,187.84,146.69
476,content,k§t@,ADJ,7,178.94,86.49
477,pauvre,povR,ADJ,6,178.03,187.77
510,long,l§,ADJ,4,164.02,444.86
512,propre,pROpR,ADJ,6,163.24,207.5
520,prochain,pRoS5,ADJ,8,160.27,59.32
522,facile,fasil,ADJ,6,159.35,98.65
527,malade,malad,ADJ,6,158.27,73.92
534,super,sypER,ADJ,5,154.83,7.09
546,difficile,difisil,ADJ,9,150.58,118.11
555,sale,sal,ADJ,4,146.86,102.03
563,noir,nwaR,ADJ,4,144.81,482.23
565,drôle,dRol,ADJ,5,144.48,95.07
570,grave,gRav,ADJ,5,142.48,93.78
588,simple,s5pl,ADJ,6,137.69,148.58
592,différent,difeR@,ADJ,9,135.8,92.03
595,génial,Zenjal,ADJ,6,134.47,10.2
596,libre,libR,ADJ,5,134.42,167.91
600,pareil,paREj,ADJ,6,133.45,149.66
605,bizarre,bizaR,ADJ,7,131.41,52.23
622,froid,fRwa,ADJ,5,127.22,161.69
623,normal,nORmal,ADJ,6,127.15,62.77
