,lemme,phon,cgram,nblettres,freqlemfilms2,freqlemlivres
636,vivant,viv@,ADJ,6,124.97,92.23
642,impossible,5posibl,ADJ,10,124.54,96.01
650,clair,klER,ADJ,5,122.69,156.69
652,faux,fo,ADJ,4,122.23,109.59
661,tranquille,tR@kil,ADJ,10,119.69,91.96
663,blanc,bl@,ADJ,5,118.74,430.54
684,passé,pase,ADJ,5,115.89,58.58
708,sérieux,seRj2,ADJ,7,110.48,66.01
722,amoureux,amuR2,ADJ,8,107.79,58.45
725,humain,ym5,ADJ,6,107.1,111.55
743,certain,sERt5,ADJ,7,103.57,182.64
747,triste,tRist,ADJ,6,103.44,105.61
749,rouge,RuZ,ADJ,5,102.93,273.24
754,dangereux,d@Z°R2,ADJ,9,101.84,47.57
767,pire,piR,ADJ,4,98.83,57.7
783,fort,fOR,ADJ,4,95.28,140.27
811,mort,mOR,ADJ,4,89.29,113.18
812,doux,du,ADJ,4,89.14,145.07
823,magnifique,maNifik,ADJ,10,88.22,27.7
827,terrible,tERibl,ADJ,8,87.66,88.11
835,exact,Egzakt,ADJ,5,86.8,38.58
841,étrange,etR@Z,ADJ,7,85.61,103.58
843,bas,ba,ADJ,3,85.56,187.09
852,chaud,So,ADJ,5,84.16,113.31
854,spécial,spesjal,ADJ,7,83.73,31.22
856,sympa,s5pa,ADJ,5,83.39,7.77
862,compris,k§pRi,ADJ,7,82.84,11.01
892,merveilleux,mERvEj2,ADJ,11,79.25,40.34
893,fier,fjER,ADJ,4,79.13,58.18
901,chéri,SeRi,ADJ,5,78.54,18.78
912,droit,dRwa,ADJ,5,77.74,163.38
920,capable,kapabl,ADJ,7,76.85,86.35
926,excellent,eksEl@,ADJ,9,76.43,33.92
931,entier,@tje,ADJ,6,76.01,147.91
945,incroyable,5kRwajabl,ADJ,10,74.67,22.64
951,idiot,idjo,ADJ,5,74.06,33.24
956,riche,RiS,ADJ,5,73.85,65.47
964,ancien,@sj5,ADJ,6,73.16,154.86
967,inutile,inytil,ADJ,7,72.71,70.34
982,stupide,stypid,ADJ,7,71.75,27.5
993,bleu,bl2,ADJ,4,70.61,207.64
1000,mignon,miN§,ADJ,6,69.71,13.58
1008,intéressant,5teREs@,ADJ,11,69.17,28.65
1022,haut,o,ADJ,4,68.05,196.76
1036,horrible,oRibl,ADJ,8,67.22,25.47
1046,calme,kalm,ADJ,5,66.57,73.65
1053,sur,syR,ADJ,3,65.92,16.22
1054,ami,ami,ADJ,3,65.72,25.95
1084,américain,ameRik5,ADJ,9,63.92,74.73
1090,cool,kul,ADJ,4,63.63,3.18
1100,secret,s°kRE,ADJ,6,62.68,83.11
1104,censé,s@se,ADJ,5,62.52,8.11
1121,ridicule,Ridikyl,ADJ,8,61.57,45.54
1133,personnel,pERsonEl,ADJ,9,61.02,50.0
1139,vide,vid,ADJ,4,60.33,147.5
1151,neuf,n9f,ADJ,4,59.45,113.18
1155,arrivé,aRive,ADJ,6,59.24,20.0
1163,parfait,paRfE,ADJ,7,58.77,43.45
1166,dingue,d5g,ADJ,6,58.48,11.69
1168,pur,pyR,ADJ,3,58.46,90.34
1178,intelligent,5teliZ@,ADJ,11,57.51,35.68
1190,sacré,sakRe,ADJ,5,56.88,45.2
1195,bête,bEt,ADJ,4,56.55,41.89
1217,proche,pROS,ADJ,6,55.34,82.91
1218,con,k§,ADJ,3,55.33,33.92
1225,enchanté,@S@te,ADJ,8,55.0,7.97
1236,charmant,SaRm@,ADJ,8,54.51,41.15
1239,formidable,fORmidabl,ADJ,10,54.23,34.32
1249,honnête,onEt,ADJ,7,53.89,28.24
1255,présent,pRez@,ADJ,7,53.7,80.74
1258,superbe,sypERb,ADJ,7,53.42,23.85
1259,méchant,meS@,ADJ,7,53.37,34.05
1270,vert,vER,ADJ,4,52.59,145.14
1273,second,s°g§,ADJ,6,52.5,88.58
1283,nécessaire,nesesER,ADJ,10,52.0,68.11
1289,entendu,@t@dy,ADJ,7,51.52,61.62
1305,coupable,kupabl,ADJ,8,50.84,23.58
1307,moyen,mwaj5,ADJ,5,50.69,41.69
1311,nerveux,nERv2,ADJ,7,50.4,35.81
1316,moindre,mw5dR,ADJ,7,50.12,130.27
1322,nu,ny,ADJ,2,49.87,168.04
1330,vu,vy,ADJ,2,49.53,32.23
1334,énorme,enORm,ADJ,6,49.27,120.0
1342,rapide,Rapid,ADJ,6,48.73,71.82
1344,enceinte,@s5t,ADJ,8,48.6,12.43
1369,in,in,ADJ,2,47.17,11.62
1388,frais,fRE,ADJ,5,46.43,111.69
1392,sexuel,seks8El,ADJ,6,46.15,20.54
1394,responsable,REsp§sabl,ADJ,11,46.01,21.82
1398,gauche,goS,ADJ,6,45.88,89.59
1413,unique,ynik,ADJ,6,45.43,70.14
1423,utile,ytil,ADJ,5,44.99,32.7
1428,public,pyblik,ADJ,6,44.81,65.27
1432,jaloux,Zalu,ADJ,6,44.67,24.19
1433,nombreux,n§bR2,ADJ,8,44.64,60.27
1435,nul,nyl,ADJ,3,44.53,35.07
1450,deuxième,d2zjEm,ADJ,8,43.97,59.05
1457,militaire,militER,ADJ,9,43.73,96.22
1472,français,fR@sE,ADJ,8,43.06,298.85
1475,sec,sEk,ADJ,3,43.02,142.84
1489,profond,pRof§,ADJ,7,42.41,105.74
1511,malin,mal5,ADJ,5,41.49,20.2
1518,allemand,al°m@,ADJ,8,41.32,86.55
1520,général,ZeneRal,ADJ,7,41.31,95.41
1527,court,kuR,ADJ,5,41.15,108.99
1543,agréable,agReabl,ADJ,8,40.24,36.01
1550,puissant,p8is@,ADJ,8,39.99,47.7
1552,ouvert,uvER,ADJ,6,39.97,132.36
1553,joyeux,Zwaj2,ADJ,6,39.89,45.61
1556,naturel,natyREl,ADJ,7,39.78,75.68
1580,innocent,inos@,ADJ,8,39.31,23.11
1587,sage,saZ,ADJ,4,39.09,31.15
1600,faible,fEbl,ADJ,6,38.78,53.65
1602,réel,ReEl,ADJ,4,38.7,40.95
1606,aveugle,av9gl,ADJ,7,38.53,38.51
1615,demi,d°mi,ADJ,4,38.26,43.51
1617,politique,politik,ADJ,9,38.09,70.81
1618,égal,egal,ADJ,4,38.08,39.32
1625,malheureux,mal2R2,ADJ,10,37.96,58.85
1632,léger,leZe,ADJ,5,37.77,151.01
1639,prudent,pRyd@,ADJ,7,37.6,20.41
1648,maudit,modi,ADJ,6,37.18,17.5
1665,principal,pR5sipal,ADJ,9,36.68,38.92
1671,perdu,pERdy,ADJ,5,36.46,58.45
1672,privé,pRive,ADJ,5,36.44,21.89
1685,fatigué,fatige,ADJ,7,35.86,31.62
1686,portable,pORtabl,ADJ,8,35.82,0.61
1688,marrant,maR@,ADJ,7,35.7,12.36
1706,continue,k§tiny,ADJ,8,35.19,8.85
1713,inquiet,5kjE,ADJ,7,34.96,46.55
1715,affreux,afR2,ADJ,7,34.96,39.46
1728,vieil,vjEj,ADJ,5,34.69,51.22
1730,national,nasjonal,ADJ,8,34.61,98.04
1737,social,sosjal,ADJ,6,34.4,49.8
1739,curieux,kyRj2,ADJ,7,34.36,66.22
1741,bien,bj5,ADJ,4,34.29,36.55
1763,rare,RaR,ADJ,4,33.27,87.23
1766,foutu,futy,ADJ,5,33.23,16.76
1788,fait,fE,ADJ,4,32.77,51.76
1794,évident,evid@,ADJ,7,32.59,33.58
1808,russe,Rys,ADJ,5,32.27,48.51
1810,anglais,@glE,ADJ,7,32.22,61.69
1826,connard,konaR,ADJ,7,31.93,2.16
1831,sombre,s§bR,ADJ,6,31.86,125.74
1835,enculé,@kyle,ADJ,6,31.77,4.73
1838,célèbre,selEbR,ADJ,7,31.67,33.58
1843,précis,pResi,ADJ,6,31.59,61.82
1844,urgent,yRZ@,ADJ,6,31.56,16.96
1846,médical,medikal,ADJ,7,31.48,11.89
1850,étranger,etR@Ze,ADJ,8,31.39,75.0
1852,bel,bEl,ADJ,3,31.35,37.09
1862,marié,maRje,ADJ,5,31.15,10.74
1871,brave,bRav,ADJ,5,30.93,35.0
1885,juif,Z8if,ADJ,4,30.62,36.76
1886,nouvel,nuvEl,ADJ,6,30.59,22.23
1889,éternel,etERnEl,ADJ,7,30.53,45.88
1890,troisième,tRwazjEm,ADJ,9,30.5,57.43
1892,double,dubl,ADJ,6,30.46,58.99
1925,brillant,bRij@,ADJ,8,29.89,53.31
1949,lourd,luR,ADJ,5,29.45,145.88
1951,véritable,veRitabl,ADJ,9,29.36,56.08
1952,amusant,amyz@,ADJ,7,29.36,18.85
1957,délicieux,delisj2,ADJ,9,29.22,28.65
1959,complet,k§plE,ADJ,7,29.19,44.12
1969,cruel,kRyEl,ADJ,5,28.98,35.88
1976,suivant,s8iv@,ADJ,7,28.81,51.08
1979,moche,mOS,ADJ,5,28.73,17.77
1981,noble,nObl,ADJ,5,28.7,31.62
1982,courageux,kuRaZ2,ADJ,9,28.68,11.96
1998,raisonnable,REzonabl,ADJ,11,28.25,23.51
2023,fini,fini,ADJ,4,27.8,18.58
2030,venu,v°ny,ADJ,4,27.67,44.39
2041,fichu,fiSy,ADJ,5,27.51,12.03
2044,préféré,pRefeRe,ADJ,7,27.42,11.01
2048,extraordinaire,EkstRaORdinER,ADJ,14,27.36,42.84
2067,fin,f5,ADJ,3,26.95,97.97
2069,magique,maZik,ADJ,7,26.93,25.88
2074,fantastique,f@tastik,ADJ,11,26.9,10.34
2077,sexy,seksi,ADJ,4,26.83,1.49
2079,sensible,s@sibl,ADJ,8,26.79,38.85
2086,lâche,laS,ADJ,5,26.67,16.08
2087,italien,italj5,ADJ,7,26.66,35.74
2091,sain,s5,ADJ,4,26.63,18.65
2097,divin,div5,ADJ,5,26.55,24.93
2099,armé,aRme,ADJ,4,26.53,21.08
2130,vierge,vjERZ,ADJ,6,26.03,25.14
2132,adorable,adoRabl,ADJ,8,25.95,7.97
2142,supérieur,sypeRj9R,ADJ,9,25.72,46.69
2144,sourd,suR,ADJ,5,25.69,50.68
2168,furieux,fyRj2,ADJ,7,25.31,44.59
2169,digne,diN,ADJ,5,25.29,35.27
2176,ferme,fERm,ADJ,5,25.2,45.14
2185,pressé,pRese,ADJ,6,25.09,31.42
2186,commun,kom1,ADJ,6,25.08,75.95
2192,élevé,El°ve,ADJ,5,25.02,30.68
2197,violent,vjol@,ADJ,7,24.99,51.49
2201,particulier,paRtikylje,ADJ,11,24.91,53.99
2212,musical,myzikal,ADJ,7,24.76,10.54
2215,sauvage,sovaZ,ADJ,7,24.68,54.66
2219,précieux,pResj2,ADJ,8,24.66,39.19
2224,fidèle,fidEl,ADJ,6,24.61,35.61
2226,total,total,ADJ,5,24.59,41.62
2241,gratuit,gRat8i,ADJ,7,24.28,13.11
2250,mortel,mORtEl,ADJ,6,24.13,20.07
2252,exprès,EkspRE,ADJ,6,24.06,26.22
2266,avant,av@,ADJ,5,23.8,24.46
2268,chouette,SwEt,ADJ,8,23.77,13.78
2271,rose,Roz,ADJ,4,23.72,96.08
2277,vidéo,video,ADJ,5,23.61,0.74
2278,absurde,apsyRd,ADJ,7,23.59,30.95
2282,compliqué,k§plike,ADJ,9,23.51,24.46
2292,aimable,Emabl,ADJ,7,23.41,29.26
2298,généreux,ZeneR2,ADJ,8,23.32,23.72
2306,saint,s5,ADJ,5,23.22,42.77
2308,futur,fytyR,ADJ,5,23.2,36.35
2314,inconnu,5kony,ADJ,7,23.13,61.82
2320,professionnel,pRofEsjonEl,ADJ,13,23.09,20.61
2327,vif,vif,ADJ,3,22.95,95.07
2353,royal,Rwajal,ADJ,5,22.65,29.26
2366,délicat,delika,ADJ,7,22.52,37.03
2368,romantique,Rom@tik,ADJ,10,22.48,10.27
2383,gamin,gam5,ADJ,5,22.15,6.08
2391,cassé,kase,ADJ,5,22.07,22.84
2393,feu,f2,ADJ,3,22.07,16.42
2406,direct,diREkt,ADJ,6,21.89,26.69
2411,idéal,ideal,ADJ,5,21.85,16.35
2424,solide,solid,ADJ,6,21.71,42.77
2425,franc,fR@,ADJ,5,21.67,23.45
2426,tendre,t@dR,ADJ,6,21.66,61.15
2435,imbécile,5besil,ADJ,8,21.58,13.51
2439,immense,im@s,ADJ,7,21.56,106.89
2444,fermé,fERme,ADJ,5,21.46,56.35
2445,blond,bl§,ADJ,5,21.45,76.76
2453,officiel,ofisjEl,ADJ,8,21.36,32.84
2454,chinois,Sinwa,ADJ,7,21.34,25.14
2458,moderne,modERn,ADJ,7,21.3,34.73
2464,dit,di,ADJ,3,21.24,16.08
2475,jaune,Zon,ADJ,5,21.09,109.86
2477,débile,debil,ADJ,6,21.09,4.66
2491,espagnol,EspaNOl,ADJ,8,20.94,25.0
2493,incapable,5kapabl,ADJ,9,20.93,46.22
2496,assis,asi,ADJ,5,20.89,30.27
2505,vilain,vil5,ADJ,6,20.67,19.32
2508,occupé,okype,ADJ,6,20.63,11.42
2512,reconnaissant,R°konEs@,ADJ,13,20.59,9.19
2517,ordinaire,ORdinER,ADJ,9,20.55,27.97
2518,cardiaque,kaRdjak,ADJ,9,20.55,3.72
2526,civil,sivil,ADJ,5,20.46,28.51
2529,ennuyeux,@n8ij2,ADJ,8,20.42,13.31
2536,électrique,elEktRik,ADJ,10,20.36,35.81
2542,gay,gE,ADJ,3,20.33,0.34
2545,réfléchi,RefleSi,ADJ,8,20.28,6.69
2556,gai,gE,ADJ,3,20.0,41.76
2559,dégueulasse,deg2las,ADJ,11,19.98,17.3
2562,net,nEt,ADJ,3,19.95,40.2
2566,illégal,ilegal,ADJ,7,19.88,1.76
2568,vain,v5,ADJ,4,19.87,57.03
2573,étonnant,eton@,ADJ,8,19.85,30.0
2575,âgé,aZe,ADJ,3,19.81,30.74
2596,prisonnier,pRizonje,ADJ,10,19.64,29.46
2598,gris,gRi,ADJ,4,19.64,154.86
2600,mystérieux,misteRj2,ADJ,10,19.61,53.65
2603,chic,Sik,ADJ,4,19.57,14.32
2605,sincère,s5sER,ADJ,7,19.51,22.5
2616,physique,fizik,ADJ,8,19.42,33.18
2621,populaire,popylER,ADJ,9,19.34,31.28
2631,correct,koREkt,ADJ,7,19.24,8.18
2647,criminel,kRiminEl,ADJ,8,19.06,8.45
2675,blessé,blese,ADJ,6,18.77,17.57
2685,fameux,fam2,ADJ,6,18.67,53.11
2687,large,laRZ,ADJ,5,18.66,107.5
2693,laid,lE,ADJ,4,18.54,26.82
2714,ivre,ivR,ADJ,4,18.32,27.7
2726,final,final,ADJ,5,18.2,19.39
2729,mental,m@tal,ADJ,6,18.15,11.35
2730,central,s@tRal,ADJ,7,18.14,37.23
2733,local,lokal,ADJ,5,18.11,22.84
2736,pourri,puRi,ADJ,6,18.09,22.84
2768,patient,pasj@,ADJ,7,17.66,14.93
2775,suffisant,syfiz@,ADJ,9,17.56,18.99
2788,injuste,5Zyst,ADJ,7,17.46,15.47
2795,reçu,R°sy,ADJ,4,17.39,7.7
2796,arrière,aRjER,ADJ,7,17.38,27.7
2800,commandant,kom@d@,ADJ,10,17.32,5.14
2808,positif,pozitif,ADJ,7,17.27,7.7
2811,absolu,apsoly,ADJ,6,17.25,34.39
2821,douloureux,duluR2,ADJ,10,17.16,37.5
2827,scientifique,sj@tifik,ADJ,12,17.07,6.55
2847,salaud,salo,ADJ,6,16.89,7.16
2848,féminin,femin5,ADJ,7,16.88,32.91
2858,légal,legal,ADJ,5,16.79,6.49
2862,splendide,spl@did,ADJ,9,16.73,10.14
2873,exceptionnel,EksEpsjonEl,ADJ,12,16.68,20.07
2876,international,5tERnasjonal,ADJ,13,16.65,24.86
2891,pâle,pal,ADJ,4,16.5,83.58
2900,las,la,ADJ,3,16.46,35.0
2908,lent,l@,ADJ,4,16.41,64.12
2909,moral,moRal,ADJ,5,16.39,34.53
2911,timide,timid,ADJ,6,16.36,25.14
2924,mince,m5s,ADJ,5,16.27,78.51
2927,sympathique,s5patik,ADJ,11,16.23,15.54
2929,invisible,5vizibl,ADJ,9,16.21,52.36
2934,excitant,Eksit@,ADJ,8,16.14,7.36
2946,négatif,negatif,ADJ,7,16.02,8.31
2955,dégoûtant,degut@,ADJ,9,15.92,6.76
2956,impressionnant,5pResjon@,ADJ,14,15.91,9.86
2959,fragile,fRaZil,ADJ,7,15.89,45.34
2965,ravissant,Ravis@,ADJ,9,15.85,13.51
2974,intime,5tim,ADJ,6,15.78,34.66
2994,familial,familjal,ADJ,8,15.66,32.84
2995,habituel,abit8El,ADJ,8,15.66,39.93
3000,bref,bREf,ADJ,4,15.63,74.8
3004,discret,diskRE,ADJ,7,15.61,33.04
3010,classique,klasik,ADJ,9,15.58,21.01
3011,minable,minabl,ADJ,7,15.58,11.55
3020,religieux,R°liZj2,ADJ,9,15.52,24.26
3021,nucléaire,nykleER,ADJ,9,15.49,1.82
3022,directeur,diREkt9R,ADJ,9,15.47,4.93
3037,fabuleux,fabyl2,ADJ,8,15.34,17.5
3048,suprême,sypREm,ADJ,7,15.26,22.97
3059,conscient,k§sj@,ADJ,9,15.15,14.59
3079,connu,kony,ADJ,5,15.01,28.92
3080,parti,paRti,ADJ,5,15.01,11.62
3084,absent,aps@,ADJ,6,14.91,29.8
3085,technique,tEknik,ADJ,9,14.9,13.04
3089,café,kafe,ADJ,4,14.88,15.47
3091,actuel,akt8El,ADJ,6,14.86,20.68
3092,enfoiré,@fwaRe,ADJ,7,14.84,0.81
3099,anniversaire,anivERsER,ADJ,12,14.77,3.85
3113,effrayant,efREj@,ADJ,9,14.69,19.19
3116,plat,pla,ADJ,4,14.66,61.76
3128,ennemi,En°mi,ADJ,6,14.56,19.05
3132,mal,mal,ADJ,3,14.55,11.42
3134,efficace,efikas,ADJ,8,14.54,15.27
3143,volontaire,vol§tER,ADJ,10,14.48,13.99
3150,original,oRiZinal,ADJ,8,14.45,10.54
3159,logique,loZik,ADJ,7,14.4,12.03
3173,gras,gRa,ADJ,4,14.31,48.92
3175,voisin,vwaz5,ADJ,6,14.31,49.73
3188,muet,m8E,ADJ,4,14.23,45.74
3204,légitime,leZitim,ADJ,8,14.08,16.22
3237,fédéral,fedeRal,ADJ,7,13.92,1.76
3238,géant,Ze@,ADJ,5,13.91,21.42
3256,mondial,m§djal,ADJ,7,13.79,16.35
3259,confortable,k§fORtabl,ADJ,11,13.78,15.2
3263,pénible,penibl,ADJ,7,13.75,27.43
3267,crétin,kRet5,ADJ,6,13.72,2.43
3268,aérien,aeRj5,ADJ,6,13.71,21.15
3286,soudain,sud5,ADJ,7,13.62,65.27
3300,surpris,syRpRi,ADJ,7,13.54,21.62
3311,célibataire,selibatER,ADJ,11,13.48,4.05
3313,communiste,komynist,ADJ,10,13.47,22.7
3321,endormi,@dORmi,ADJ,7,13.43,32.3
3351,catholique,katolik,ADJ,10,13.26,27.03
3363,remarquable,R°maRkabl,ADJ,11,13.22,13.24
3369,disponible,disponibl,ADJ,10,13.19,11.96
3370,solitaire,solitER,ADJ,9,13.19,26.96
3375,pratique,pRatik,ADJ,8,13.18,16.69
3376,intérieur,5teRj9R,ADJ,9,13.17,50.61
3379,brun,bR1,ADJ,4,13.16,68.18
3380,misérable,mizeRabl,ADJ,9,13.16,22.97
3381,interne,5tERn,ADJ,7,13.15,7.3
3385,commercial,komERsjal,ADJ,10,13.13,9.73
3407,soûl,su,ADJ,4,12.96,2.77
3408,suspect,syspE,ADJ,7,12.95,16.82
3414,mouillé,muje,ADJ,7,12.92,33.51
3421,chanceux,S@s2,ADJ,8,12.88,1.08
3450,rempli,R@pli,ADJ,6,12.74,20.74
3452,maigre,mEgR,ADJ,6,12.73,62.7
3454,doué,dwe,ADJ,4,12.73,7.57
3462,mis,mi,ADJ,3,12.66,12.5
3466,impatient,5pasj@,ADJ,9,12.64,16.76
3478,sauf,sof,ADJ,4,12.52,6.69
3482,fâché,faSe,ADJ,5,12.51,4.59
3490,humble,1bl,ADJ,6,12.43,18.45
3492,récent,Res@,ADJ,6,12.42,23.45
3494,pris,pRi,ADJ,4,12.4,20.14
3505,pilote,pilOt,ADJ,6,12.33,2.16
3507,chrétien,kRetj5,ADJ,8,12.33,21.55
3509,rond,R§,ADJ,4,12.31,78.51
3519,nord,nOR,ADJ,4,12.26,11.89
3521,volé,vole,ADJ,4,12.25,8.72
3523,vital,vital,ADJ,5,12.24,9.8
3544,grec,gREk,ADJ,4,12.14,29.46
3545,tragique,tRaZik,ADJ,8,12.13,22.5
3551,spirituel,spiRit8El,ADJ,9,12.1,14.53
3552,extrême,EkstREm,ADJ,7,12.08,45.54
3563,silencieux,sil@sj2,ADJ,10,12.01,74.05
3565,serré,sERe,ADJ,5,12.0,41.28
3567,saoul,su,ADJ,5,11.97,13.18
3573,amer,amER,ADJ,4,11.94,30.07
3578,japonais,ZaponE,ADJ,8,11.9,14.66
3582,chiant,Sj@,ADJ,6,11.89,2.84
3583,intact,5takt,ADJ,6,11.89,31.89
3606,sublime,syblim,ADJ,7,11.74,12.91
3611,fatal,fatal,ADJ,5,11.69,23.38
3618,anonyme,anonim,ADJ,7,11.65,14.8
3621,grossier,gRosje,ADJ,8,11.64,22.57
3627,fascinant,fasin@,ADJ,9,11.64,5.54
3629,indien,5dj5,ADJ,6,11.62,11.22
3633,cérébral,seRebRal,ADJ,8,11.59,3.31
3635,répugnant,RepyN@,ADJ,9,11.59,8.58
3658,honorable,onoRabl,ADJ,9,11.44,10.81
3663,glacé,glase,ADJ,5,11.42,40.27
3664,insupportable,5sypORtabl,ADJ,13,11.42,25.74
3684,insensé,5s@se,ADJ,7,11.32,11.82
3686,historique,istoRik,ADJ,10,11.31,18.24
3690,familier,familje,ADJ,8,11.3,47.91
3699,humide,ymid,ADJ,6,11.23,53.31
3721,fixe,fiks,ADJ,4,11.12,39.53
3724,indépendant,5dep@d@,ADJ,11,11.11,9.46
3730,obscur,OpskyR,ADJ,6,11.06,67.57
3733,quitte,kit,ADJ,6,11.04,5.07
3737,canon,kan§,ADJ,5,11.03,5.2
3739,romain,Rom5,ADJ,6,11.02,21.55
3740,confus,k§fy,ADJ,6,11.02,37.23
3741,financier,fin@sje,ADJ,9,11.02,9.32
3744,extérieur,EksteRj9R,ADJ,9,11.01,29.86
3747,probable,pRobabl°,ADJ,8,10.98,18.18
3751,aimé,eme,ADJ,4,10.96,12.77
3752,loyal,lwajal,ADJ,5,10.96,7.36
3755,atroce,atROs,ADJ,6,10.94,17.43
3756,spatial,spasjal,ADJ,7,10.94,1.35
3764,désagréable,dezagReabl,ADJ,11,10.91,19.39
3788,épouvantable,epuv@tabl,ADJ,12,10.82,9.53
3790,judiciaire,ZydisjER,ADJ,10,10.8,5.61
3794,étroit,etRwa,ADJ,6,10.79,75.81
3809,payé,peje,ADJ,4,10.72,7.64
3812,soviétique,sovjetik,ADJ,10,10.68,24.59
3822,modeste,modEst,ADJ,7,10.64,31.69
3845,chimique,Simik,ADJ,8,10.51,4.59
3847,gardien,gaRdj5,ADJ,7,10.5,6.96
3848,sensé,s@se,ADJ,5,10.5,2.64
3854,brûlant,bRyl@,ADJ,7,10.48,36.28
3858,caché,kaSe,ADJ,5,10.47,15.27
3863,habillé,abije,ADJ,7,10.45,17.23
3866,inconscient,5k§sj@,ADJ,11,10.45,10.74
3867,majeur,maZ9R,ADJ,6,10.45,11.55
3885,désespéré,dezEspeRe,ADJ,9,10.37,16.35
3888,adulte,adylt,ADJ,6,10.37,11.01
3890,parent,paR@,ADJ,6,10.37,6.96
3891,vulgaire,vylgER,ADJ,8,10.36,16.76
3901,gênant,ZEn@,ADJ,6,10.33,10.27
3904,vaste,vast,ADJ,5,10.32,71.76
3906,interdit,5tERdi,ADJ,8,10.31,15.34
3921,obligé,obliZe,ADJ,6,10.24,8.11
3926,inhabituel,inabit8El,ADJ,10,10.23,7.16
3936,promis,pRomi,ADJ,6,10.21,6.62
3940,épais,epE,ADJ,5,10.19,90.61
3945,quotidien,kotidj5,ADJ,9,10.15,37.43
3946,actif,aktif,ADJ,5,10.15,13.65
3951,élégant,eleg@,ADJ,7,10.13,28.85
3954,courant,kuR@,ADJ,7,10.13,20.14
3956,lointain,lw5t5,ADJ,8,10.12,91.96
3964,stable,stabl,ADJ,6,10.09,4.53
3967,brisé,bRize,ADJ,5,10.09,16.42
3969,quelconque,kElk§k,ADJ,10,10.08,28.85
3970,uni,yni,ADJ,3,10.08,13.78
3983,artistique,aRtistik,ADJ,10,10.0,10.0
4001,municipal,mynisipal,ADJ,9,9.92,14.53
4006,vague,vag,ADJ,5,9.9,65.95
4011,mûr,myR,ADJ,3,9.89,19.73
4014,amical,amikal,ADJ,6,9.88,23.04
4020,essentiel,es@sjEl,ADJ,9,9.85,23.04
4023,agressif,agREsif,ADJ,8,9.83,15.88
4025,brutal,bRytal,ADJ,6,9.82,35.34
4026,disparu,dispaRy,ADJ,7,9.82,14.8
4036,têtu,tety,ADJ,4,9.78,9.19
4037,immédiat,imedja,ADJ,8,9.77,24.59
4058,tendu,t@dy,ADJ,5,9.71,37.57
4065,arabe,aRab,ADJ,5,9.66,25.27
4072,tu,ty,ADJ,2,9.61,6.82
4075,chargé,SaRZe,ADJ,6,9.61,8.65
4083,confidentiel,k§fid@sjEl,ADJ,12,9.57,4.73
