Mot,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20
brouetter,brouettée
brouettée,brouetter
brout,brou
bull,bulle
bull-dog,bulldog
bulldog,bull-dog
bulle,bull
bush,bouche
business,biseness,bisness,bizness
bute,butte
buter,butter
buteur,butteur
butoir,buttoir
butte,bute
butter,buter
butteur,buteur
buttoir,butoir
by,bi
bye,bail,baille
bâiller,bailler,bayer
bât,bah,bas
bâter,batée
bé,b
bécard,bécarre
bécarre,bécard
bécher,bêcher
béluga,beluga
bésef,bezef,bézef
bésicles,besicles
bézef,bezef,bésef
bêcher,bécher
bêlement,bellement
bête,bette
bôme,baume
cabale,kabbale
cabalistique,kabbalistique
cacahouète,cacahuète
cacahuète,cacahouète
cache,cash
cacher,kacher
cachère,cascher,casher,kascher,kasher
caddie,caddy,cadi,kadi
caddy,caddie,cadi,kadi
cadi,caddie,caddy,kadi
caduc,caduque
caduque,caduc
caesium,césium
cafeter,cafter
cafeteria,cafétéria
caftan,kaftan
cafter,cafeter
cafétéria,cafeteria
cagne,khâgne
cagneux,khâgneux
cahier,cailler
cahot,chao,chaos,k-o
cailler,cahier
cal,cale
calandre,calendre
cale,cal
calendo,calendos
calendos,calendo
calendre,calandre
caler,caller
calife,khalife
caller,caler
calo,calot
calot,calo
camaïeu,camaïeux
camaïeux,camaïeu
camellia,camélia
cameraman,caméraman
camp,quand,quant
camélia,camellia
caméraman,cameraman
candida,candidat
candidat,candida
caner,canner
canette,cannette
canna,kana,khanat
canne,kan,khan
canner,caner
cannette,canette
caoua,kawa
cap,cape
cape,cap
capo,capoc,capot,kapo
capoc,capo,capot,kapo
capot,capo,capoc,kapo
cappa,kappa
cappuccino,capuccino,capucino
capuccino,cappuccino,capucino
capucino,cappuccino,capuccino
car,care,carre,quarre,quart
cardio-vasculaire,cardiovasculaire
cardiovasculaire,cardio-vasculaire
care,car,carre,quarre,quart
cari,carie,carry,cary,kari
carie,cari,carry,cary,kari
carier,carié,carrier
carié,carier,carrier
carre,car,care,quarre,quart
carrier,carier,carié
carry,cari,carie,cary,kari
carte,kart,quarte
cary,cari,carie,carry,kari
carène,karen
caréner,caréné
caréné,caréner
cas,k,ka
casaque,kazakh
casbah,kasbah
cascher,cachère,casher,kascher,kasher
cash,cache
casher,cachère,cascher,kascher,kasher
casse-noisette,casse-noisettes
casse-noisettes,casse-noisette
casse-pipe,casse-pipes
casse-pipes,casse-pipe
cata,kata
catarrhe,cathare
cathare,catarrhe
catho,cato
cathédral,cathédrale
cathédrale,cathédral
cato,catho
caver,cavée
cavée,caver
ce,ceux
celer,sceller,seller
